"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,216,6,36,216,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,3,144603605,"gaussian_phi050_N216","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",216,6,36,3,100000,0,1.33333333333333,0.962546285123913,-0.37078704820942,0.415404872971596,0.78610248447205,0.843307063139219,0.0572045786671693,0.0648723095376845,0,0,0
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,512,8,64,512,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,4,440604493,"gaussian_phi050_N512","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",512,8,64,4,100000,0,1.33333333333333,1.10046235932177,-0.232870974011564,0.310305354944007,0.836161879895561,0.864289709056487,0.0281278291609257,0.0378567489681177,0,0,0
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,512,64,8,512,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,11,440604493,"gaussian_phi050_N512","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",512,64,8,11,100000,0,1.33333333333333,0.954442493415895,-0.378890839917438,1.73623423788323,0.981723237597911,0.986849934246218,0.00512669664830689,0.023688455544264,0,0.00066,0.00848
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,1000,10,100,1000,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,5,928605957,"gaussian_phi050_N1000","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1000,10,100,5,100000,0,1.33333333333333,1.18687460259469,-0.146458730738643,0.268367425065175,0.867954147196262,0.882354766403694,0.0144006192074326,0.0265567163262357,0,0,0
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,1000,100,10,1000,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,13,928605957,"gaussian_phi050_N1000","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1000,100,10,13,100000,0,1.33333333333333,1.06582437221162,-0.267508961121713,1.52866564505635,0.987983978638184,0.990376930103864,0.00239295146567964,0.0137598944500078,0,5e-05,0.00216
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,4096,64,64,4096,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,64,64,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.979485509605992,0.981281925933559,0.00179641632756755,0.0169035166916982,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,64,64,4096,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,64,64,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.979485509605992,0.981281925933559,0.00179641632756755,0.0169035166916982,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,64,64,64,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,64,64,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.979485509605992,0.981281925933559,0.00179641632756755,0.0169035166916982,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,64,64,64,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,64,64,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.979485509605992,0.981281925933559,0.00179641632756755,0.0169035166916982,0,0,0
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,64,64,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,64,64,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.979485509605992,0.981281925933559,0.00179641632756755,0.0169035166916982,0,0,0
