"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi050_N125_M25_Q5","gaussian_phi050_N125","gaussian","Gaussian",0.5,125,25,5,"VK_leading_oracle_minus_F_feasible_leading",0.00147,0.000193077092860955,-0.0026187360038229,6.2424243004609e-05
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,6,36,"K_asym_full_minus_K_leading",-0.00515,0.000226352131319485,-0.0067545346649211,6.17048860464818e-06
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,6,36,"V_oracle_minus_V_feasible",0.00804,0.000282762061712379,0.0127391355269863,4.55390692948021e-05
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,6,36,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00409,0.000201824493883332,-0.00771888531566154,7.21783610241647e-06
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,6,36,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00773,0.0002780346094148,0.0127741762563838,4.57854120356127e-05
"gaussian_phi050_N216_M6_Q36","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,6,36,"VK_leading_oracle_minus_F_feasible_leading",0.00811,0.000283624899172894,0.0128740980685651,4.65112101026925e-05
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,36,6,"K_asym_full_minus_K_leading",-0.00485,0.000219693553962278,-0.00720171012902696,1.74493050907502e-05
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,36,6,"V_oracle_minus_V_feasible",0.00212,0.000217613256846396,-0.00140575981347475,4.65304858775481e-05
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,36,6,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00473,0.000216971753386052,-0.00724682855110815,1.75857663339351e-05
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,36,6,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.0012,0.000193871028933563,-0.00220563359343773,4.89123282028691e-05
"gaussian_phi050_N216_M36_Q6","gaussian_phi050_N216","gaussian","Gaussian",0.5,216,36,6,"VK_leading_oracle_minus_F_feasible_leading",0.00119,0.000200714328991277,-0.00234320778924588,4.92140962251375e-05
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,8,64,"K_asym_full_minus_K_leading",-0.00204,0.000142683522475007,-0.00187820313033872,1.22805024403631e-06
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,8,64,"V_oracle_minus_V_feasible",0.00396,0.000212234856789229,0.00353402908625926,2.8018649349881e-05
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,8,64,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00142,0.000119079711957067,-0.002069773558837,1.36994452727074e-06
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,8,64,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00396,0.000207469550624048,0.00353731926967597,2.81717296773368e-05
"gaussian_phi050_N512_M8_Q64","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,8,64,"VK_leading_oracle_minus_F_feasible_leading",0.0038,0.000201136780724077,0.00354114419178439,2.83666502872786e-05
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,64,8,"K_asym_full_minus_K_leading",-0.00201,0.000141632621941402,-0.00215680352124631,4.39907431850608e-06
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,64,8,"V_oracle_minus_V_feasible",0.00086,0.000158091283531191,-0.000577101569735748,1.88660343308517e-05
