"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"centered_gamma05_phi080_N100","centered_gamma05_phi080_N100_M10_Q10","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",100,10,10,5,58624661,9,40,4.44444444444445,5.4294967296,8.60000000008148,0.631336829017274,-3.8888888888889,1.03888888888889,0.85,0.444444444444445,0.15,0.594444444444445,1.14954853500463,NA,NA
"centered_gamma05_phi080_N225","centered_gamma05_phi080_N225_M15_Q15","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",225,15,15,7,183625036,9,40,4.44444444444445,6.42715832557022,8.82222222222222,0.728519205669168,3.6111111111111,0.983950617283951,0.9,0.296296296296296,0.1,0.396296296296296,0.77620390647108,NA,NA
"centered_gamma05_phi080_N1024","centered_gamma05_phi080_N1024_M32_Q32","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",1024,32,32,13,982627433,9,40,4.44444444444445,7.75099035203143,8.9609375,0.864975383661746,29.1111111111111,0.971571180555556,0.953125,0.138888888888889,0.046875,0.185763888888889,0.366694868476033,NA,NA
"student_t5_phi080_N4096","student_t5_phi080_N4096_M64_Q64","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",4096,64,64,17,1907153104,9,40,4.44444444444445,8.37500039231886,8.990234375,0.931566413397188,76.7777777777778,0.981255425347222,0.9765625,0.0694444444444445,0.0234375,0.0928819444444445,0.18364690757023,NA,NA
"student_t5_phi080_N4096","student_t5_phi080_N4096_M16_Q256","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",4096,16,256,8,1907153104,9,40,4.44444444444445,6.57036874417766,8.990234375,0.73083397719291,4.77777777777777,0.998833550347222,0.994140625,0.277777777777778,0.005859375,0.283637152777778,0.18364690757023,NA,NA
"student_t5_phi080_N4096","student_t5_phi080_N4096_M256_Q16","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",4096,256,16,17,1907153104,9,40,4.44444444444445,8.84375,8.990234375,0.983706278514013,364.777777777778,0.910942925347222,0.90625,0.0173611111111111,0.09375,0.111111111111111,0.18364690757023,NA,NA
"student_t5_phi050_N64","student_t5_phi050_N64_M8_Q8","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",64,8,8,4,2140087300,3,4,1.33333333333333,2.501953125,2.9375,0.851728723404255,8.33333333333333,0.869791666666667,0.8125,0.166666666666667,0.1875,0.354166666666667,0.839802256702024,NA,NA
"student_t5_phi050_N100","student_t5_phi050_N100_M10_Q10","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",100,10,10,5,28603762,3,4,1.33333333333333,2.600390625,2.96,0.878510346283784,11.3333333333333,0.886666666666667,0.85,0.133333333333333,0.15,0.283333333333333,0.674409908268098,NA,NA
"student_t5_phi050_N225","student_t5_phi050_N225_M15_Q15","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",225,15,15,7,153604137,3,4,1.33333333333333,2.73334147135417,2.98222222222222,0.916545202764065,18.8333333333333,0.916296296296296,0.9,0.0888888888888889,0.1,0.188888888888889,0.451291162201681,NA,NA
"student_t5_phi050_N400","student_t5_phi050_N400_M20_Q20","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",400,20,20,10,328604662,3,4,1.33333333333333,2.80000019073486,2.99,0.936454913289252,26.3333333333333,0.934166666666667,0.925,0.0666666666666667,0.075,0.141666666666667,0.338909455074293,NA,NA
"student_t5_phi050_N1024","student_t5_phi050_N1024_M32_Q32","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",1024,32,32,13,952606534,3,4,1.33333333333333,2.8750000000291,2.99609375,0.959582790100979,44.3333333333333,0.956705729166667,0.953125,0.0416666666666667,0.046875,0.0885416666666667,0.212034147120628,NA,NA
"student_t5_phi050_N4096","student_t5_phi050_N4096_M16_Q256","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",4096,16,256,8,1877132104,3,4,1.33333333333333,2.75000381469727,2.9990234375,0.916966429908824,20.3333333333333,0.995035807291667,0.994140625,0.0833333333333333,0.005859375,0.0891927083333333,0.106068894536228,NA,NA
"student_t5_phi050_N4096","student_t5_phi050_N4096_M256_Q16","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",4096,256,16,17,1877132104,3,4,1.33333333333333,2.984375,2.9990234375,0.995115597525236,380.333333333333,0.907145182291667,0.90625,0.00520833333333333,0.09375,0.0989583333333333,0.106068894536228,NA,NA
"student_t5_phi050_N4096","student_t5_phi050_N4096_M64_Q64","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",4096,64,64,17,1877132104,3,4,1.33333333333333,2.9375,2.9990234375,0.979485509605992,92.3333333333333,0.977457682291667,0.9765625,0.0208333333333333,0.0234375,0.0442708333333333,0.106068894536228,NA,NA
"student_t5_phi080_N64","student_t5_phi080_N64_M8_Q8","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",64,8,8,4,22624654,9,40,4.44444444444445,4.8388608,8.37500039231886,0.577774396815308,-7.22222222222223,1.11284722222222,0.8125,0.555555555555556,0.1875,0.743055555555556,1.41801399698641,NA,NA
"student_t5_phi080_N100","student_t5_phi080_N100_M10_Q10","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",100,10,10,5,58624762,9,40,4.44444444444445,5.4294967296,8.60000000008148,0.631336829017274,-4.22222222222223,1.04222222222222,0.85,0.444444444444445,0.15,0.594444444444445,1.14954853500463,NA,NA
"student_t5_phi080_N225","student_t5_phi080_N225_M15_Q15","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",225,15,15,7,183625137,9,40,4.44444444444445,6.42715832557022,8.82222222222222,0.728519205669168,3.27777777777777,0.985432098765432,0.9,0.296296296296296,0.1,0.396296296296296,0.77620390647108,NA,NA
"student_t5_phi080_N400","student_t5_phi080_N400_M20_Q20","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",400,20,20,10,358625662,9,40,4.44444444444445,7.02305843009214,8.9,0.789107688774397,10.7777777777778,0.973055555555556,0.925,0.222222222222222,0.075,0.297222222222222,0.584713464050365,NA,NA
"student_t5_phi080_N1024","student_t5_phi080_N1024_M32_Q32","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",1024,32,32,13,982627534,9,40,4.44444444444445,7.75099035203143,8.9609375,0.864975383661746,28.7777777777778,0.971896701388889,0.953125,0.138888888888889,0.046875,0.185763888888889,0.366694868476033,NA,NA
