"scenario_id","innovation","module","panel","series","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","design_id","alpha_effective","L","seed"
"gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,16,256,16,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M16_Q256",0.333333333333333,8,1877131599
"gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,32,128,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M32_Q128",0.416666666666667,16,1877131599
"gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,8,512,8,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M8_Q512",0.25,4,1877131599
"gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,128,32,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M128_Q32",0.583333333333333,17,1877131599
"gaussian_phi050_N4096","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,4096,256,16,4096,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M256_Q16",0.666666666666667,17,1877131599
"gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,128,32,128,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M128_Q32",0.583333333333333,17,1877131599
"gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,64,64,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M64_Q64",0.5,17,1877131599
"gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,256,16,256,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M256_Q16",0.666666666666667,17,1877131599
"gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,32,128,32,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M32_Q128",0.416666666666667,16,1877131599
"gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,64,64,64,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N4096_M64_Q64",0.5,17,1877131599
"gaussian_phi050_N8000","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,8000,400,20,8000,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8000_M400_Q20",0.666666666666667,19,1486176019
"gaussian_phi050_N8000","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,8000,20,400,8000,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8000_M20_Q400",0.333333333333333,10,1486176019
"gaussian_phi050_N243","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,243,27,9,243,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N243_M27_Q9",0.6,9,171603686
"gaussian_phi050_N243","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,243,9,27,243,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N243_M9_Q27",0.4,4,171603686
"gaussian_phi050_N1024","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,1024,16,64,1024,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M16_Q64",0.4,8,952606029
"gaussian_phi050_N1024","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,1024,64,16,1024,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M64_Q16",0.6,13,952606029
"gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,16,64,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M16_Q64",0.4,8,952606029
"gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,32,32,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M32_Q32",0.5,13,952606029
"gaussian_phi050_N1024","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,1024,32,32,1024,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M32_Q32",0.5,13,952606029
"gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,64,16,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M64_Q16",0.6,13,952606029
"gaussian_phi050_N1024","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,1024,32,32,1024,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N1024_M32_Q32",0.5,13,952606029
"gaussian_phi050_N3125","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,3125,25,125,3125,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N3125_M25_Q125",0.4,12,906128686
"gaussian_phi050_N3125","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,3125,125,25,3125,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N3125_M125_Q25",0.6,16,906128686
"gaussian_phi050_N7776","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,7776,216,36,7776,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N7776_M216_Q36",0.6,19,1262175347
"gaussian_phi050_N7776","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,7776,36,216,7776,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N7776_M36_Q216",0.4,18,1262175347
"gaussian_phi050_N100","gaussian","constant_sensitivity","N_100","N = 100",0.5,100,5,20,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N100_M5_Q20",0.349485002168009,2,28603257
"gaussian_phi050_N100","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,100,10,10,100,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N100_M10_Q10",0.5,5,28603257
"gaussian_phi050_N100","gaussian","constant_sensitivity","N_100","N = 100",0.5,100,10,10,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N100_M10_Q10",0.5,5,28603257
"gaussian_phi050_N100","gaussian","constant_sensitivity","N_100","N = 100",0.5,100,20,5,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N100_M20_Q5",0.650514997831991,7,28603257
"gaussian_phi050_N100","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,100,10,10,100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N100_M10_Q10",0.5,5,28603257
"gaussian_phi050_N225","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,225,15,15,225,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N225_M15_Q15",0.5,7,153603632
"gaussian_phi050_N225","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,225,15,15,225,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N225_M15_Q15",0.5,7,153603632
"gaussian_phi050_N400","gaussian","constant_sensitivity","N_400","N = 400",0.5,400,20,20,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M20_Q20",0.5,10,328604157
"gaussian_phi050_N400","gaussian","constant_sensitivity","N_400","N = 400",0.5,400,10,40,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M10_Q40",0.38431089342012,5,328604157
"gaussian_phi050_N400","gaussian","fixed_N_sweep","N_400","N = 400",0.5,400,20,20,20,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M20_Q20",0.5,10,328604157
"gaussian_phi050_N400","gaussian","constant_sensitivity","N_400","N = 400",0.5,400,40,10,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M40_Q10",0.61568910657988,10,328604157
"gaussian_phi050_N400","gaussian","fixed_N_sweep","N_400","N = 400",0.5,400,5,80,5,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M5_Q80",0.268621786840241,2,328604157
"gaussian_phi050_N400","gaussian","fixed_N_sweep","N_400","N = 400",0.5,400,10,40,10,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M10_Q40",0.38431089342012,5,328604157
"gaussian_phi050_N400","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,400,20,20,400,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M20_Q20",0.5,10,328604157
"gaussian_phi050_N400","gaussian","fixed_N_sweep","N_400","N = 400",0.5,400,40,10,40,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M40_Q10",0.61568910657988,10,328604157
"gaussian_phi050_N400","gaussian","fixed_N_sweep","N_400","N = 400",0.5,400,80,5,80,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M80_Q5",0.731378213159759,10,328604157
"gaussian_phi050_N400","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,400,20,20,400,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N400_M20_Q20",0.5,10,328604157
"gaussian_phi050_N8100","gaussian","constant_sensitivity","N_8100","N = 8100",0.5,8100,90,90,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8100_M90_Q90",0.5,19,1586176319
"gaussian_phi050_N8100","gaussian","constant_sensitivity","N_8100","N = 8100",0.5,8100,180,45,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8100_M180_Q45",0.577019610977132,19,1586176319
"gaussian_phi050_N8100","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,8100,90,90,8100,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8100_M90_Q90",0.5,19,1586176319
"gaussian_phi050_N8100","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,8100,90,90,8100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8100_M90_Q90",0.5,19,1586176319
"gaussian_phi050_N8100","gaussian","constant_sensitivity","N_8100","N = 8100",0.5,8100,45,180,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N8100_M45_Q180",0.422980389022868,19,1586176319
"gaussian_phi050_N343","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,343,49,7,343,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N343_M49_Q7",0.666666666666667,10,271603986
"gaussian_phi050_N19683","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,19683,729,27,19683,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5","gaussian_phi050_N19683_M729_Q27",0.666666666666667,22,284309192
"gaussian_phi020_N64","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,64,8,8,64,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N64_M8_Q8",0.5,4,2110065795
"gaussian_phi020_N100","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,100,10,10,100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N100_M10_Q10",0.5,5,2146065903
"gaussian_phi020_N225","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,225,15,15,225,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N225_M15_Q15",0.5,7,123582632
"gaussian_phi020_N400","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,400,20,20,400,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N400_M20_Q20",0.5,10,298583157
"gaussian_phi020_N1024","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,1024,32,32,1024,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N1024_M32_Q32",0.5,13,922585029
"gaussian_phi020_N4096","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,4096,64,64,4096,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N4096_M64_Q64",0.5,17,1847110599
"gaussian_phi020_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,4096,256,16,256,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N4096_M256_Q16",0.666666666666667,17,1847110599
