"scenario_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","seed"
"laplace_phi020_N100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",100,2146066004
"laplace_phi020_N225","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",225,123582733
"laplace_phi020_N400","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",400,298583258
"laplace_phi020_N1024","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",1024,922585130
"laplace_phi020_N8100","laplace","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular",0.2,"phi = 0.2",8100,1556155420
"centered_gamma4_phi020_N100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",100,2146066105
"centered_gamma4_phi020_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",225,123582834
"centered_gamma4_phi020_N400","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",400,298583359
"centered_gamma4_phi020_N64","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",64,2110065997
"centered_gamma4_phi050_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",225,153603834
"centered_gamma4_phi050_N400","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",400,328604359
"centered_gamma4_phi050_N1024","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1024,952606231
"centered_gamma4_phi050_N4096","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,1877131801
"centered_gamma4_phi050_N8100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8100,1586176521
"centered_gamma4_phi080_N64","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",64,22624351
"centered_gamma4_phi080_N100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",100,58624459
"centered_gamma4_phi080_N225","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",225,183624834
"centered_gamma4_phi020_N1024","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",1024,922585231
"centered_gamma4_phi020_N4096","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",4096,1847110801
"centered_gamma4_phi020_N8100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.2,"phi = 0.2",8100,1556155521
"centered_gamma4_phi050_N64","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",64,2140086997
"centered_gamma4_phi050_N100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.5,"phi = 0.5",100,28603459
"centered_gamma4_phi080_N4096","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",4096,1907152801
"centered_gamma4_phi080_N400","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",400,358625359
"centered_gamma4_phi080_N1024","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",1024,982627231
"centered_gamma4_phi080_N8100","centered_gamma4","Centered Gamma(4)",3,1,1.5,"inside formal moment assumptions","regular",0.8,"phi = 0.8",8100,1616197521
"contaminated_normal_phi080_N4096","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",4096,1907152902
"contaminated_normal_phi050_N225","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",225,153603935
"contaminated_normal_phi050_N400","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",400,328604460
"contaminated_normal_phi050_N1024","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",1024,952606332
"contaminated_normal_phi050_N4096","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",4096,1877131902
"contaminated_normal_phi080_N64","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",64,22624452
"contaminated_normal_phi080_N100","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",100,58624560
"contaminated_normal_phi080_N225","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",225,183624935
"contaminated_normal_phi050_N64","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",64,2140087098
"contaminated_normal_phi050_N100","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",100,28603560
"contaminated_normal_phi080_N1024","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",1024,982627332
"contaminated_normal_phi080_N400","contaminated_normal","Contaminated normal",4,0,16.9586776859504,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",400,358625460
"centered_gamma05_phi050_N4096","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",4096,1877132003
"centered_gamma05_phi080_N400","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",400,358625561
"centered_gamma05_phi080_N4096","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",4096,1907153003
"centered_gamma05_phi050_N64","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",64,2140087199
"centered_gamma05_phi050_N100","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",100,28603661
"centered_gamma05_phi050_N225","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",225,153604036
"centered_gamma05_phi050_N400","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",400,328604561
"centered_gamma05_phi050_N1024","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.5,"phi = 0.5",1024,952606433
"centered_gamma05_phi080_N64","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",64,22624553
"centered_gamma05_phi080_N100","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",100,58624661
"centered_gamma05_phi080_N225","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",225,183625036
"centered_gamma05_phi080_N1024","centered_gamma05","Centered Gamma(1/2)",5,2.82842712474619,12,"inside formal moment assumptions","extreme",0.8,"phi = 0.8",1024,982627433
"student_t5_phi080_N4096","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",4096,1907153104
"student_t5_phi050_N64","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",64,2140087300
"student_t5_phi050_N100","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",100,28603762
"student_t5_phi050_N225","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",225,153604137
"student_t5_phi050_N400","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",400,328604662
"student_t5_phi050_N1024","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",1024,952606534
"student_t5_phi050_N4096","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.5,"phi = 0.5",4096,1877132104
"student_t5_phi080_N64","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",64,22624654
"student_t5_phi080_N100","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",100,58624762
"student_t5_phi080_N225","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",225,183625137
"student_t5_phi080_N400","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",400,358625662
"student_t5_phi080_N1024","student_t5","Standardized t(5)",6,0,6,"outside formal 8+delta moment assumption","extreme",0.8,"phi = 0.8",1024,982627534
