"phi","N","C_opt","grid_best_C","grid_best_r","grid_best_coverage","median_C_hat","q25_C_hat","q75_C_hat","median_r_hat","q25_r_hat","q75_r_hat","coverage","coverage_mcse","convex_failure_rate","fallback_rate","mean_Q_hat","q10_Q_hat"
0.2,256,0.52704627669473,0.375,0.711512473537885,0.93548,1,0.802516941316373,1,1.89736659610103,1.52266883725885,1.89736659610103,0.92223,0.000846887401606613,4e-05,0.47899,20.79744,15
0.2,512,0.52704627669473,0.309359216769115,0.586967844093695,0.93877,1,0.864886019870867,1,1.89736659610103,1.64100584353775,1.89736659610103,0.93142,0.000799229526481598,0,0.47746,28.14133,19
0.2,1024,0.52704627669473,0.46875,0.889390591922357,0.94369,1,0.825058887370857,1,1.89736659610103,1.56543917271374,1.89736659610103,0.93971,0.000752695927317266,0,0.4493,41.65319,27
0.2,4096,0.52704627669473,0.578125,1.09691506337091,0.94709,1,0.725712333817707,1,1.89736659610103,1.37694234056424,1.89736659610103,0.94542,0.000718338524652548,0,0.3975,90.88945,59
0.5,256,0.942809041582063,0.75,0.795495128834866,0.91839,1,0.816242083077375,1.0762483860991,1.06066017177982,0.865755468050768,1.14153379807763,0.91319,0.000890359612179259,6e-05,0.23265,19.60654,13
0.5,512,0.942809041582063,0.662912607362388,0.703125,0.93094,1,0.868821822821172,1.13884807551825,1.06066017177982,0.921524703839562,1.2079307954103,0.92768,0.0008190837417505,0,0.26775,26.68269,17
0.5,1024,0.942809041582063,0.84375,0.894932019939224,0.93766,1,0.848192250254806,1.15247770267089,1.06066017177982,0.899643737857576,1.22238719808732,0.93584,0.000774877373524353,0,0.23086,38.61693,24
0.5,4096,0.942809041582063,0.84375,0.894932019939224,0.94413,1,0.801318396879059,1.13304835619754,1.06066017177982,0.849926508484073,1.20177926411933,0.94308,0.000732667138610706,0,0.14501,80.16168,49
0.8,256,1.72132593164774,1.0625,0.617256720801807,0.87786,1.35977785809661,1.26312658501757,1.42959830402223,0.789959549842462,0.733810234188736,0.830521563486667,0.87673,0.00103958889518886,0.00064,0.00259,11.89165,10
0.8,512,1.72132593164774,1.01646599795566,0.590513382310257,0.90535,1.48796019873026,1.37001092338891,1.57708379102981,0.864426760425266,0.795904423561124,0.916202888734816,0.90518,0.000926440325115439,7e-05,0.00247,15.58966,13
0.8,1024,1.72132593164774,1.21875,0.708029767978543,0.92216,1.55496948615044,1.44503198670677,1.64176447604833,0.903355638558202,0.839487722887853,0.953778971119521,0.9206,0.000854959882099739,0,0.00076,20.76242,18
0.8,4096,1.72132593164774,1.03125,0.59910211136646,0.93789,1.63922112409451,1.55074327519798,1.71543526685456,0.952301417155416,0.900900431862738,0.99657783300369,0.93717,0.000767348624159841,0,0,39.17201,35
