"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",0.5,0.263523138347365,4,64,0.25,0.474341649025257,0.2,256,0.416666666666667,0.52704627669473,0.93274,-0.0172599999999999,0.000792061187030396,0,2.04166666666667,0.935382913117974,1.52473650067682,1.29126337790209,0.00175,0.000457898975446241,0.154593793521694,0.291263377902088
"relative grid",0.6,0.316227766016838,5,51,0.3125,0.592927061281571,0.2,256,0.416666666666667,0.52704627669473,0.93457,-0.0154299999999999,0.000781977717713235,0,1.80208333333333,0.937098183517395,1.36307556230842,1.13973757335235,-8e-05,0.000466906967201348,-0.00706714484670602,0.139737573352353
"relative grid",0.7,0.368932393686311,6,42,0.375,0.711512473537885,0.2,256,0.416666666666667,0.52704627669473,0.93548,-0.01452,0.000776898768180257,0,1.67361111111111,0.938017966195346,1.28268678967714,1.05848460569525,-0.00099,0.000498289756995685,-0.087455917477987,0.0584846056952493
"relative grid",0.8,0.421637021355784,7,36,0.4375,0.8300978857942,0.2,256,0.416666666666667,0.52704627669473,0.93459,-0.0154099999999999,0.000781866560865727,0,1.60863095238095,0.938483184461027,1.36130877609674,1.01738754483393,-1e-04,0.000508726339031979,-0.00883393105838252,0.017387544833934
"relative grid",0.9,0.474341649025257,8,32,0.5,0.948683298050514,0.2,256,0.416666666666667,0.52704627669473,0.93449,-0.0155099999999999,0.000782422136062113,0,1.58333333333333,0.938664299969041,1.37014270715512,1.00138792571999,0,0,0,0.00138792571998692
"relative grid",1,0.52704627669473,8,32,0.5,0.948683298050514,0.2,256,0.416666666666667,0.52704627669473,0.93449,-0.0155099999999999,0.000782422136062113,0,1.58333333333333,0.938664299969041,1.37014270715512,1.00138792571999,0,0,0,0.00138792571998692
"relative grid",1.1,0.579750904364203,9,28,0.5625,1.06726871030683,0.2,256,0.416666666666667,0.52704627669473,0.93326,-0.01674,0.000789213357717671,0,1.58449074074074,0.938656013638609,1.47880005917323,1.00211993443762,0.00123,0.000526391149124317,0.108657352018105,0.00211993443761838
"relative grid",1.2,0.632455532033676,10,25,0.625,1.18585412256314,0.2,256,0.416666666666667,0.52704627669473,0.93163,-0.01837,0.000798094875938945,0,1.60416666666667,0.938515146021265,1.62279313542487,1.01456408263735,0.00286,0.000554004759196825,0.25265042826974,0.014564082637355
"relative grid",1.3,0.685160159703149,11,23,0.6875,1.30443953481946,0.2,256,0.416666666666667,0.52704627669473,0.93008,-0.0199199999999999,0.000806419206120489,0,1.63731060606061,0.938277855649803,1.75971906682979,1.03552615046044,0.00441,0.000547090954124742,0.389576359674669,0.0355261504604407
"relative grid",1.4,0.737864787372622,12,21,0.75,1.42302494707577,0.2,256,0.416666666666667,0.52704627669473,0.92909,-0.02091,0.000811675870652812,0,1.68055555555556,0.937968248212754,1.84717498430778,1.06287665800104,0.0054,0.00055579806505141,0.477032277152656,0.0628766580010385
