M,Q,x,critical_interior_finite_Q,critical_xQ_boundary,size_VC_chi2,size_VC_interior_finite_Q,size_VC_xQ_boundary
12,35,1.30217975050368,4.12752088592385,4.26975831405297,0.06333,0.05491,0.05128
15,28,1.62772468812961,4.19641152973175,4.40034680473198,0.06603,0.05521,0.0499
20,21,2.17029958417281,4.42760139232576,4.63603692850831,0.07037,0.05361,0.04904
28,15,3.03841941784193,4.90133767621256,5.16098400590836,0.08295,0.05411,0.04899
35,12,3.79802427230241,5.39186638391169,5.74252135885981,0.09217,0.0536,0.04775
42,10,4.5576291267629,6.06813185563923,6.45475785917143,0.10455,0.05365,0.04899
60,7,6.51089875251842,9.25132472073105,10.2717341358817,0.13994,0.05602,0.0505
70,6,7.59604854460483,13.7235031099146,17.0378519388683,0.16371,0.05682,0.05038
84,5,9.11525825352579,inf,inf,0.1966,,
