"M","Q","x","procedure","multiplier","lower_log","upper_log","lower_geometric_vix","upper_geometric_vix","sample_geometric_vix","simulated_size_gaussian","size_controlled_4_6"
2,210,0.217029958417281,"Raw",1,2.86712946123794,2.95475953516449,17.58646305042,19.1971059358471,18.3503635861491,0.518966666666667,FALSE
2,210,0.217029958417281,"Variance",0.110806734884025,2.78660689274869,3.0605606732546,16.2258701726558,21.3395183057469,18.3503635861491,0.0524666666666667,TRUE
2,210,0.217029958417281,"Bartlett",0.996963111871143,2.86706623449053,2.95483083760397,17.5853511507141,19.198474785132,18.3503635861491,0.518566666666667,FALSE
2,210,0.217029958417281,"Combined",0.110470227226258,2.7864279746261,3.06083898100689,16.2229673301205,21.3454580856267,18.3503635861491,0.0523333333333333,TRUE
3,140,0.325544937625922,"Raw",1,2.85931305068736,2.9635499405538,17.4495358717516,19.3666001493312,18.3503635861491,0.446733333333333,FALSE
3,140,0.325544937625922,"Variance",0.159253477089373,2.7872761812781,3.06234439758909,16.236733596419,21.377616091708,18.3503635861491,0.0561666666666667,TRUE
3,140,0.325544937625922,"Bartlett",0.988321489605843,2.85902360107741,2.96388444578711,17.4444858412997,19.3730794620543,18.3503635861491,0.444733333333333,FALSE
3,140,0.325544937625922,"Combined",0.15739363370188,2.78658538897931,3.06348485594518,16.2255212590372,21.402010280247,18.3503635861491,0.0553666666666667,TRUE
4,105,0.434059916834563,"Raw",1,2.85256318931507,2.97089030273286,17.3321505366549,19.5092810326366,18.3503635861491,0.392366666666667,FALSE
4,105,0.434059916834563,"Variance",0.20422958636267,2.78637019277368,3.05753376740896,16.222029964098,21.2750232525138,18.3503635861491,0.0540333333333333,TRUE
4,105,0.434059916834563,"Bartlett",0.981035252439351,2.85202744998081,2.97151109151583,17.3228675087286,19.5213959354744,18.3503635861491,0.388366666666667,FALSE
4,105,0.434059916834563,"Combined",0.200356423812886,2.78522577835923,3.05924112430948,16.2034758579937,21.3113783369934,18.3503635861491,0.0519666666666667,TRUE
5,84,0.542574896043204,"Raw",1,2.84649263248258,2.97851384454678,17.2272534458045,19.6585792197544,18.3503635861491,0.345833333333333,FALSE
5,84,0.542574896043204,"Variance",0.246015856102259,2.78545731026244,3.06382488516791,16.2072279139412,21.4092888265567,18.3503635861491,0.0538666666666667,TRUE
5,84,0.542574896043204,"Bartlett",0.974815815340549,2.84570479240821,2.97946582708893,17.2136864701737,19.6773027548002,18.3503635861491,0.340666666666667,FALSE
5,84,0.542574896043204,"Combined",0.239820147353027,2.78393206735126,3.0663044094367,16.1825267968461,21.4624395447964,18.3503635861491,0.0510333333333333,TRUE
6,70,0.651089875251844,"Raw",1,2.84154236209271,2.98216610251357,17.142184613752,19.7305086948692,18.3503635861491,0.3096,FALSE
6,70,0.651089875251844,"Variance",0.284868800029669,2.78459175104202,3.05117716609556,16.1932056678005,21.140215325811,18.3503635861491,0.0562333333333333,TRUE
6,70,0.651089875251844,"Bartlett",0.969421271427907,2.84050425464149,2.98334766672529,17.1243984177629,19.7538353360705,18.3503635861491,0.302766666666667,FALSE
6,70,0.651089875251844,"Combined",0.276157874314904,2.78270754253586,3.05361460186408,16.162723018791,21.1918060918473,18.3503635861491,0.0528666666666667,TRUE
7,60,0.759604854460485,"Raw",1,2.83715349243623,2.98933048449059,17.0671146564845,19.8723731746156,18.3503635861491,0.279733333333333,FALSE
7,60,0.759604854460485,"Variance",0.321022841543423,2.78401031944789,3.06296525171961,16.183793163044,21.3908925939184,18.3503635861491,0.0566666666666667,TRUE
7,60,0.759604854460485,"Bartlett",0.964658572656324,2.83587460786773,2.99091062253049,17.0453017379968,19.9037990895149,18.3503635861491,0.271766666666667,FALSE
7,60,0.759604854460485,"Combined",0.309677436113355,2.7818057103136,3.06639477196196,16.14815352498,21.4643790326592,18.3503635861491,0.0532666666666667,TRUE
10,42,1.08514979208641,"Raw",1,2.82691291538681,2.99773525431408,16.8932294160358,20.0400997613205,18.3503635861491,0.225566666666667,FALSE
10,42,1.08514979208641,"Variance",0.415344869732035,2.78412332284365,3.04900825832772,16.1856220899632,21.0944138361351,18.3503635861491,0.0608333333333333,FALSE
10,42,1.08514979208641,"Bartlett",0.952802098423385,2.82496739061157,2.99996087853898,16.8603951699492,20.084751163008,18.3503635861491,0.216766666666667,FALSE
10,42,1.08514979208641,"Combined",0.39574146345007,2.78126520112295,3.0526313813433,16.1394276580058,21.170980113168,18.3503635861491,0.0555,TRUE
12,35,1.30217975050369,"Raw",1,2.81948918187003,3.00220586175798,16.7682829411153,20.1298917432906,18.3503635861491,0.192833333333333,FALSE
12,35,1.30217975050369,"Variance",0.468203424956269,2.77879968221407,3.0450454228172,16.0996846076901,21.0109855593608,18.3503635861491,0.0589,TRUE
12,35,1.30217975050369,"Bartlett",0.946034043596035,2.81699732097967,3.00481972506847,16.7265507296827,20.1825773552595,18.3503635861491,0.1826,FALSE
12,35,1.30217975050369,"Combined",0.442936379336892,2.77518778477689,3.04885417262121,16.0416390884513,21.091163738879,18.3503635861491,0.0522,TRUE
14,30,1.51920970892097,"Raw",1,2.81370562679014,3.01373164737397,16.6715825586724,20.3632467767335,18.3503635861491,0.1788,FALSE
14,30,1.51920970892097,"Variance",0.514422559932591,2.77717340045845,3.06013083032054,16.0735232629661,21.330347635702,18.3503635861491,0.0626,FALSE
14,30,1.51920970892097,"Bartlett",0.939673760127134,2.81075294954005,3.01730503592231,16.6224293586072,20.4361427347956,18.3503635861491,0.166833333333333,FALSE
14,30,1.51920970892097,"Combined",0.483389381186083,2.77312900166241,3.0655650044647,16.0086468063975,21.4465759758095,18.3503635861491,0.0556,TRUE
15,28,1.62772468812961,"Raw",1,2.81047652110694,3.01703550613629,16.6178350815288,20.4306353278555,18.3503635861491,0.171266666666667,FALSE
15,28,1.62772468812961,"Variance",0.53535175017942,2.77682597958736,3.0597481163226,16.0679399554475,21.3221857750096,18.3503635861491,0.0621,FALSE
15,28,1.62772468812961,"Bartlett",0.936569087235775,2.80734701507541,3.02081601723559,16.5659107575308,20.5080197556557,18.3503635861491,0.158066666666667,FALSE
15,28,1.62772468812961,"Combined",0.501393900015614,2.77278025923551,3.06522446524563,16.0030648854417,21.4392738189808,18.3503635861491,0.0552666666666667,TRUE
20,21,2.17029958417281,"Raw",1,2.80400898952254,3.02561107758605,16.5107055136329,20.6065930917289,18.3503635861491,0.148266666666667,FALSE
20,21,2.17029958417281,"Variance",0.622198860088023,2.77800326391824,3.0582607011036,16.0868676288271,21.2904944063405,18.3503635861491,0.0708666666666667,FALSE
20,21,2.17029958417281,"Bartlett",0.921165316944104,2.79986732143486,3.0306763742386,16.4424650636953,20.7112363996976,18.3503635861491,0.134533333333333,FALSE
20,21,2.17029958417281,"Combined",0.573148010155245,2.77297349661231,3.06481800280774,16.006157574523,21.4305613302473,18.3503635861491,0.0625666666666667,FALSE
21,20,2.27881456338146,"Raw",1,2.79752965542824,3.02256576579424,16.4040729634881,20.5439350458645,18.3503635861491,0.146933333333333,FALSE
21,20,2.27881456338146,"Variance",0.636587421186447,2.77087051698584,3.05016187773377,15.9725323202503,21.1187628033158,18.3503635861491,0.0709333333333333,FALSE
21,20,2.27881456338146,"Bartlett",0.918052223302882,2.79286724566383,3.02735047033229,16.3277684731533,20.6424672408501,18.3503635861491,0.131833333333333,FALSE
21,20,2.27881456338146,"Combined",0.584420497346866,2.76523679857192,3.05608048046121,15.8828005698394,21.2441269949095,18.3503635861491,0.0607333333333333,FALSE
28,15,3.03841941784194,"Raw",1,2.79518765547862,3.0342130610161,16.3656995782069,20.7846152381159,18.3503635861491,0.134133333333333,FALSE
28,15,3.03841941784194,"Variance",0.717035076765511,2.77669912002323,3.05698059338886,16.0659017128764,21.2632577168678,18.3503635861491,0.0827666666666667,FALSE
28,15,3.03841941784194,"Bartlett",0.895666175006449,2.78930863165231,3.04134152711915,16.2697675102167,20.9333070057708,18.3503635861491,0.116033333333333,FALSE
28,15,3.03841941784194,"Combined",0.642224064552021,2.77008737019518,3.06538616500879,15.9600283796745,21.4427408247792,18.3503635861491,0.0697666666666667,FALSE
30,14,3.25544937625922,"Raw",1,2.78564050986368,3.03996826708179,16.2101973436231,20.9045798612444,18.3503635861491,0.134866666666667,FALSE
30,14,3.25544937625922,"Variance",0.734873511812693,2.76678967016722,3.06129574031306,15.9074836795881,21.3552100492322,18.3503635861491,0.0876,FALSE
30,14,3.25544937625922,"Bartlett",0.889083638603506,2.77871541940741,3.04774312429906,16.0983280602328,21.0677434497405,18.3503635861491,0.115466666666667,FALSE
30,14,3.25544937625922,"Combined",0.653364015795766,2.7589833986145,3.0702816873265,15.7837889676606,21.5479716107056,18.3503635861491,0.0734666666666667,FALSE
35,12,3.79802427230243,"Raw",1,2.77803160078964,3.03846460404167,16.0873234867851,20.8731700379513,18.3503635861491,0.131633333333333,FALSE
35,12,3.79802427230243,"Variance",0.772236505452972,2.76072910753995,3.05593100444744,15.8113669334858,21.2409517448081,18.3503635861491,0.0914666666666667,FALSE
35,12,3.79802427230243,"Bartlett",0.872333518569929,2.76911088321247,3.0474275501885,15.9444512263996,21.0610960642663,18.3503635861491,0.1117,FALSE
