"M","Q","N","phi","x","nu_exact","finite_sample_vc_size","finite_sample_vc_mcse","boundary_size","boundary_mcse","absolute_difference","boundary_convex_hull_failure","boundary_q95_finite","boundary_q95_extended","finite_q95_ratio_to_chi2","sigma_total_sum"
20,21,420,0.891485020791359,2.17029958417281,0.622198860088023,0.0708666666666667,0.00148149229070131,0.07298,0.00082252002771969,0.00211333333333334,0.00001,4.65381379080807,4.65392363538679,1.21147043559018,21.0000000000021
28,15,420,0.891485020791359,3.03841941784194,0.717035076765511,0.0827666666666667,0.00159076863555071,0.08222,0.00086867641616427,0.000546666666666668,0.00028,5.04263535820211,5.05683519411126,1.31268759957472,15.0000000000015
35,12,420,0.891485020791359,3.79802427230243,0.772236505452972,0.0914666666666667,0.00166433686048984,0.09432,0.000924249628617724,0.00285333333333333,0.0013,5.64710765053858,5.72422437662885,1.47004247972602,12.0000000000012
42,10,420,0.891485020791359,4.55762912676291,0.811622859383217,0.1043,0.00176466720186366,0.10671,0.000976334860076193,0.00241,0.00409,6.19743209776357,6.51505527473791,1.61330171349949,10.000000000001
60,7,420,0.891485020791359,6.51089875251844,0.873434643877609,0.143633333333333,0.00202486871087888,0.14085,0.00110005126016927,0.00278333333333333,0.02164,7.39100842752148,10.3074461933967,1.92401084392881,7.0000000000007
70,6,420,0.891485020791359,7.59604854460485,0.894444532110851,0.160766666666667,0.00212069757041998,0.16103,0.00116232241267215,0.000263333333333338,0.03876,7.72735222201614,17.0726317822023,2.01156711101223,6.0000000000006
84,5,420,0.891485020791359,9.11525825352582,0.915529785452048,0.193933333333333,0.00228271180510926,0.194,0.00125045591685593,0.0000666666666666593,0.0729,7.87634829825654,Inf,2.0503534375603,5.0000000000005
