scenario_id,group,N1,N2,M1,M2,model1,p11,p12,model2,p21,p22,innov1,innov2,lrv_sd1,lrv_sd2,effect_c,delta0,L_rule,theory_scope,block_ratio,geom_M,base_id,scenario_no,B,threads,seed,delta_true,L_vc,L_hac1,L_hac2,Q1,Q2,Q,method,nominal,coverage,coverage_fail_as_miss,failure_rate,mcse,EN_theory,scaled_emp,scaled_theory,mcse_scaled,theory_signal_to_mcse
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_oracle,0.9,0.8981,0.8981,0,0.0030251675986629,2.697166185930667e-05,-6.56640000000004,0.0932140633857638,10.454979220978982,0.008915757881060181
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_oracle,0.95,0.948,0.948,0,0.0022202702538204,7.804377027908228e-05,-6.91200000000001,0.2697192700845084,7.673253997203302,0.03515057238856083
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_oracle,0.99,0.9901,0.9901,0,0.0009900499987374,7.321717036789801e-05,0.345599999999962,0.2530385407914555,3.4216127956364546,0.07395300283952433
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,BC_feasible,0.9,0.8618,0.8618,0,0.003451097796354,,-132.0192,,11.926993984199424,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,BC_feasible,0.95,0.9194,0.9194,0,0.0027221983763127,,-105.7536,,9.40791758853669,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,BC_feasible,0.99,0.9799,0.9799,0,0.0014034240271564,,-34.9056,,4.850233437852519,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VC_feasible,0.9,0.8988,0.8988,0,0.0030159336862736,,-4.14719999999993,,10.423066819761562,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VC_feasible,0.95,0.9485,0.9485,0,0.002210152709656,,-5.18399999999981,,7.638287764571136,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VC_feasible,0.99,0.9892,0.9892,0,0.0010336034055671,,-2.76480000000008,,3.5721333696398974,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCBC_feasible,0.9,0.8999,0.8999,0,0.003001332870576,,-0.345599999999962,,10.372606400710655,
