"Q","M","x","Vplus","adjacent_correlation","critical_xQ_boundary","hull_failure_boundary","chi2_rejection_of_boundary_limit","covariance_sum_check","reps.x","critical_interior_finite_Q","hull_failure_simulated","hull_failure_theoretical","chi2_rejection_of_interior_limit","reps.y","critical_chi2","boundary_minus_interior","boundary_to_interior_ratio"
35,12,1.30217975050368,0.450780769338251,0.461641667167784,4.26975831405297,0,0.0627133333333333,35.0000000000035,300000,4.12752088592385,0,0.0000000000582076609134674,0.05843,300000,3.84145882069412,0.142237428129119,1.03446074097752
28,15,1.62772468812961,0.517647729842029,0.391828221631654,4.40034680473198,0,0.0659766666666667,28.0000000000028,300000,4.19641152973175,0,0.00000000745058059692383,0.0602133333333333,300000,3.84145882069412,0.203935275000231,1.04859753948233
21,20,2.17029958417281,0.605104243564277,0.305479451703697,4.63603692850831,0.0000166666666666667,0.0715066666666667,21.0000000000021,300000,4.42760139232576,0,0.00000095367431640625,0.0664233333333333,300000,3.84145882069412,0.208435536182556,1.04707640045101
15,28,3.03841941784193,0.702053686420214,0.217241356869866,5.16098400590836,0.00034,0.0835966666666667,15.0000000000015,300000,4.90133767621256,0.00007,0.00006103515625,0.0779,300000,3.84145882069412,0.259646329695795,1.05297458507214
12,35,3.79802427230241,0.759266203498969,0.169419070508443,5.74252135885981,0.00143333333333333,0.0941233333333333,12.0000000000012,300000,5.39186638391169,0.000423333333333333,0.00048828125,0.0881933333333333,300000,3.84145882069412,0.350654974948114,1.06503406241564
10,42,4.5576291267629,0.800451522071801,0.137206327433637,6.45475785917143,0.00402333333333333,0.106023333333333,10.000000000001,300000,6.06813185563923,0.00206666666666667,0.001953125,0.0986466666666667,300000,3.84145882069412,0.386626003532196,1.06371417311456
7,60,6.51089875251842,0.865632832345889,0.0904352439645785,10.2717341358817,0.02118,0.140136666666667,7.0000000000007,300000,9.25132472073105,0.0158533333333333,0.015625,0.134796666666667,300000,3.84145882069412,1.02040941515067,1.11029873514915
6,70,7.59604854460483,0.887900377964239,0.0757210389291099,17.0378519388683,0.03905,0.161076666666667,6.0000000000006,300000,13.7235031099146,0.0313066666666667,0.03125,0.155443333333333,300000,3.84145882069412,3.31434882895373,1.24150895018629
5,84,9.11525825352579,0.910278535703938,0.0615979481225715,Inf,0.0728233333333333,0.193873333333333,5.0000000000005,300000,Inf,0.0616066666666667,0.0625,0.186653333333333,300000,3.84145882069412,,
