"Q","critical_interior_finite_Q","hull_failure_simulated","hull_failure_theoretical","chi2_rejection_of_interior_limit","reps"
35,4.12752088592385,0,0.0000000000582076609134674,0.05843,300000
28,4.19641152973175,0,0.00000000745058059692383,0.0602133333333333,300000
21,4.42760139232576,0,0.00000095367431640625,0.0664233333333333,300000
15,4.90133767621256,0.00007,0.00006103515625,0.0779,300000
12,5.39186638391169,0.000423333333333333,0.00048828125,0.0881933333333333,300000
10,6.06813185563923,0.00206666666666667,0.001953125,0.0986466666666667,300000
7,9.25132472073105,0.0158533333333333,0.015625,0.134796666666667,300000
6,13.7235031099146,0.0313066666666667,0.03125,0.155443333333333,300000
5,Inf,0.0616066666666667,0.0625,0.186653333333333,300000
