"M","Q","x","phi","nu","exact_hull_failure","size_VC_chi2","size_VC_interior_finite_Q","size_VC_xQ_boundary","size_Combined_chi2","abs_error_VC_chi2","abs_error_VC_interior_finite_Q","abs_error_VC_xQ_boundary","mcse_VC_chi2","mcse_VC_interior_finite_Q","mcse_VC_xQ_boundary","reps","critical_chi2","critical_interior_finite_Q","critical_xQ_boundary","boundary_to_interior_ratio","boundary_interval_lower","boundary_interval_upper","which_reference_closest_to_5pct"
12,35,1.30217975050368,0.89148502079136,0.468203424956268,0,0.06333,0.05491,0.05128,0.05717,0.01333,0.00491,0.00128,0.000770190308300487,0.000720381092894587,0.000697498111825401,100000,3.84145882069412,4.12752088592385,4.26975831405297,1.03446074097752,15.9878751457304,21.1659414432278,"xQ boundary"
15,28,1.62772468812961,0.89148502079136,0.535351750179419,0,0.06603,0.05521,0.0499,0.05872,0.01603,0.00521,0.000100000000000003,0.000785302738439132,0.000722231651895706,0.000688549126787624,100000,3.84145882069412,4.19641152973175,4.40034680473198,1.04859753948233,15.931953840128,21.5709465622679,"xQ boundary"
20,21,2.17029958417281,0.89148502079136,0.622198860088022,0.00003,0.07037,0.05361,0.04904,0.06157,0.02037,0.00361,0.000960000000000003,0.00080881433654455,0.000712291849595375,0.000682898809487907,100000,3.84145882069412,4.42760139232576,4.63603692850831,1.04707640045101,15.8988405903184,21.6221429817786,"xQ boundary"
28,15,3.03841941784193,0.89148502079136,0.717035076765511,0.00027,0.08295,0.05411,0.04899,0.07009,0.03295,0.00411,0.00101,0.000872177146570581,0.000715416717025818,0.000682568530625314,100000,3.84145882069412,4.90133767621256,5.16098400590836,1.05297458507214,15.7753663254655,21.7704637724754,"xQ boundary"
35,12,3.79802427230241,0.89148502079136,0.772236505452971,0.00127,0.09217,0.0536,0.04775,0.07533,0.04217,0.0036,0.00225,0.000914738711873505,0.00071222917659978,0.000674314003265541,100000,3.84145882069412,5.39186638391169,5.74252135885981,1.06503406241564,15.337656522838,21.9237410709381,"xQ boundary"
42,10,4.5576291267629,0.89148502079136,0.811622859383216,0.00382,0.10455,0.05365,0.04899,0.08432,0.05455,0.00365,0.00101,0.00096757065633472,0.000712542472418311,0.000682568530625314,100000,3.84145882069412,6.06813185563923,6.45475785917143,1.06371417311456,15.2842828717633,22.3422279736111,"xQ boundary"
60,7,6.51089875251842,0.89148502079136,0.873434643877609,0.02138,0.13994,0.05602,0.0505,0.11093,0.08994,0.00602,0.0005,0.00109707245157282,0.000727198457094073,0.000692457579928186,100000,3.84145882069412,9.25132472073105,10.2717341358817,1.11029873514915,15.6183869790538,21.0682212749304,"xQ boundary"
70,6,7.59604854460483,0.89148502079136,0.89444453211085,0.03836,0.16371,0.05682,0.05038,0.12794,0.11371,0.00682,0.000379999999999998,0.00117008134717207,0.00073206207113878,0.000691678072516398,100000,3.84145882069412,13.7235031099146,17.0378519388683,1.24150895018629,14.8803912846581,22.6737328860498,"xQ boundary"
84,5,9.11525825352579,0.89148502079136,0.915529785452048,0.07347,0.1966,,,0.15412,0.1466,,,0.00125677539759497,,,100000,3.84145882069412,Inf,Inf,,,,"chi-squared"
