"M","Q","x","Vplus","adjacent_correlation","critical_xQ_boundary","hull_failure_boundary","chi2_rejection_of_boundary_limit","covariance_sum_check","reps"
12,35,1.30217975050368,0.450780769338251,0.461641667167784,4.26975831405297,0,0.0627133333333333,35.0000000000035,300000
15,28,1.62772468812961,0.517647729842029,0.391828221631654,4.40034680473198,0,0.0659766666666667,28.0000000000028,300000
20,21,2.17029958417281,0.605104243564277,0.305479451703697,4.63603692850831,0.0000166666666666667,0.0715066666666667,21.0000000000021,300000
28,15,3.03841941784193,0.702053686420214,0.217241356869866,5.16098400590836,0.00034,0.0835966666666667,15.0000000000015,300000
35,12,3.79802427230241,0.759266203498969,0.169419070508443,5.74252135885981,0.00143333333333333,0.0941233333333333,12.0000000000012,300000
42,10,4.5576291267629,0.800451522071801,0.137206327433637,6.45475785917143,0.00402333333333333,0.106023333333333,10.000000000001,300000
60,7,6.51089875251842,0.865632832345889,0.0904352439645785,10.2717341358817,0.02118,0.140136666666667,7.0000000000007,300000
70,6,7.59604854460483,0.887900377964239,0.0757210389291099,17.0378519388683,0.03905,0.161076666666667,6.0000000000006,300000
84,5,9.11525825352579,0.910278535703938,0.0615979481225715,Inf,0.0728233333333333,0.193873333333333,5.0000000000005,300000
