"M","Q","x","calibration","multiplier","cutoff","lower_log","upper_log","lower_geometric_vix","upper_geometric_vix","sample_geometric_vix"
12,35,1.30217975050368,"VC + chi-squared",0.468203424956268,3.84145882069412,2.77879968221407,3.0450454228172,16.0996846076901,21.0109855593608,18.3503635861491
12,35,1.30217975050368,"VC + interior finite-Q",0.468203424956268,4.12752088592385,2.77410430940259,3.04999651356572,16.0242677799276,21.1152708054083,18.3503635861491
12,35,1.30217975050368,"VC + xQ boundary fitted-x",0.468203424956268,4.26975831405297,2.7718306315698,3.05239335411889,15.9878751457304,21.1659414432278,18.3503635861491
12,35,1.30217975050368,"Combined + chi-squared",0.442936379336891,3.84145882069412,2.77518778477689,3.04885417262121,16.0416390884513,21.091163738879,18.3503635861491
15,28,1.62772468812961,"VC + chi-squared",0.535351750179419,3.84145882069412,2.77682597958736,3.0597481163226,16.0679399554475,21.3221857750096,18.3503635861491
15,28,1.62772468812961,"VC + interior finite-Q",0.535351750179419,4.19641152973175,2.77134589389755,3.06718554720008,15.9801270983849,21.4813592449806,18.3503635861491
15,28,1.62772468812961,"VC + xQ boundary fitted-x",0.535351750179419,4.40034680473198,2.76832676800965,3.07134734271444,15.931953840128,21.5709465622679,18.3503635861491
15,28,1.62772468812961,"Combined + chi-squared",0.501393900015613,3.84145882069412,2.77278025923551,3.06522446524563,16.0030648854417,21.4392738189808,18.3503635861491
20,21,2.17029958417281,"VC + chi-squared",0.622198860088022,3.84145882069412,2.77800326391824,3.0582607011036,16.0868676288271,21.2904944063405,18.3503635861491
20,21,2.17029958417281,"VC + interior finite-Q",0.622198860088022,4.42760139232576,2.76920231708735,3.0697886660985,15.9459091560092,21.5373506216829,18.3503635861491
20,21,2.17029958417281,"VC + xQ boundary fitted-x",0.622198860088022,4.63603692850831,2.76624618771958,3.07371792764025,15.8988405903184,21.6221429817786,18.3503635861491
20,21,2.17029958417281,"Combined + chi-squared",0.573148010155244,3.84145882069412,2.77297349661231,3.06481800280774,16.006157574523,21.4305613302473,18.3503635861491
28,15,3.03841941784193,"VC + chi-squared",0.717035076765511,3.84145882069412,2.77669912002323,3.05698059338886,16.0659017128763,21.2632577168678,18.3503635861491
28,15,3.03841941784193,"VC + interior finite-Q",0.717035076765511,4.90133767621256,2.76176094399021,3.07618815953335,15.8276900981861,21.6756207129744,18.3503635861491
28,15,3.03841941784193,"VC + xQ boundary fitted-x",0.717035076765511,5.16098400590836,2.75844963005721,3.08055417830275,15.7753663254655,21.7704637724754,18.3503635861491
28,15,3.03841941784193,"Combined + chi-squared",0.64222406455202,3.84145882069412,2.77008737019518,3.06538616500879,15.9600283796745,21.4427408247792,18.3503635861491
35,12,3.79802427230241,"VC + chi-squared",0.772236505452971,3.84145882069412,2.76072910753995,3.05593100444744,15.8113669334858,21.2409517448081,18.3503635861491
35,12,3.79802427230241,"VC + interior finite-Q",0.772236505452971,5.39186638391169,2.73534874529276,3.08223788773082,15.415118448616,21.807149783207,18.3503635861491
