"phi","value","curve","panel"
-0.9,1.38333213926412,"Variance calibration","Even M"
-0.898198198198198,1.37848319408759,"Variance calibration","Even M"
-0.896396396396396,1.37371400124789,"Variance calibration","Even M"
-0.894594594594595,1.36902357839737,"Variance calibration","Even M"
-0.892792792792793,1.36441090528118,"Variance calibration","Even M"
-0.890990990990991,1.35987493008518,"Variance calibration","Even M"
-0.889189189189189,1.35541457507948,"Variance calibration","Even M"
-0.887387387387387,1.35102874163685,"Variance calibration","Even M"
-0.885585585585586,1.34671631469673,"Variance calibration","Even M"
-0.883783783783784,1.34247616673589,"Variance calibration","Even M"
-0.881981981981982,1.33830716130016,"Variance calibration","Even M"
-0.88018018018018,1.33420815614454,"Variance calibration","Even M"
-0.878378378378378,1.33017800602398,"Variance calibration","Even M"
-0.876576576576577,1.32621556517192,"Variance calibration","Even M"
-0.874774774774775,1.32231968949952,"Variance calibration","Even M"
-0.872972972972973,1.3184892385447,"Variance calibration","Even M"
-0.871171171171171,1.31472307719702,"Variance calibration","Even M"
-0.869369369369369,1.31102007722149,"Variance calibration","Even M"
-0.867567567567568,1.30737911860184,"Variance calibration","Even M"
-0.865765765765766,1.30379909072151,"Variance calibration","Even M"
-0.863963963963964,1.30027889339896,"Variance calibration","Even M"
-0.862162162162162,1.29681743779179,"Variance calibration","Even M"
-0.86036036036036,1.29341364718286,"Variance calibration","Even M"
-0.858558558558559,1.29006645766021,"Variance calibration","Even M"
-0.856756756756757,1.28677481870141,"Variance calibration","Even M"
-0.854954954954955,1.28353769367162,"Variance calibration","Even M"
-0.853153153153153,1.28035406024425,"Variance calibration","Even M"
-0.851351351351351,1.2772229107516,"Variance calibration","Even M"
-0.84954954954955,1.27414325247265,"Variance calibration","Even M"
-0.847747747747748,1.27111410786415,"Variance calibration","Even M"
-0.845945945945946,1.26813451474062,"Variance calibration","Even M"
-0.844144144144144,1.26520352640859,"Variance calibration","Even M"
-0.842342342342342,1.26232021175935,"Variance calibration","Even M"
-0.840540540540541,1.25948365532476,"Variance calibration","Even M"
-0.838738738738739,1.25669295729963,"Variance calibration","Even M"
-0.836936936936937,1.2539472335343,"Variance calibration","Even M"
-0.835135135135135,1.25124561550026,"Variance calibration","Even M"
-0.833333333333333,1.24858725023206,"Variance calibration","Even M"
-0.831531531531532,1.24597130024755,"Variance calibration","Even M"
-0.82972972972973,1.24339694344928,"Variance calibration","Even M"
-0.827927927927928,1.24086337300876,"Variance calibration","Even M"
-0.826126126126126,1.23836979723573,"Variance calibration","Even M"
-0.824324324324324,1.23591543943415,"Variance calibration","Even M"
-0.822522522522523,1.23349953774639,"Variance calibration","Even M"
-0.820720720720721,1.23112134498726,"Variance calibration","Even M"
-0.818918918918919,1.22878012846888,"Variance calibration","Even M"
-0.817117117117117,1.22647516981793,"Variance calibration","Even M"
-0.815315315315315,1.22420576478613,"Variance calibration","Even M"
-0.813513513513514,1.22197122305494,"Variance calibration","Even M"
-0.811711711711712,1.21977086803552,"Variance calibration","Even M"
-0.80990990990991,1.21760403666462,"Variance calibration","Even M"
-0.808108108108108,1.21547007919721,"Variance calibration","Even M"
-0.806306306306306,1.21336835899645,"Variance calibration","Even M"
-0.804504504504505,1.21129825232171,"Variance calibration","Even M"
-0.802702702702703,1.20925914811509,"Variance calibration","Even M"
-0.800900900900901,1.20725044778701,"Variance calibration","Even M"
-0.799099099099099,1.20527156500127,"Variance calibration","Even M"
-0.797297297297297,1.20332192546003,"Variance calibration","Even M"
-0.795495495495495,1.20140096668901,"Variance calibration","Even M"
-0.793693693693694,1.19950813782339,"Variance calibration","Even M"
-0.791891891891892,1.19764289939447,"Variance calibration","Even M"
-0.79009009009009,1.19580472311763,"Variance calibration","Even M"
-0.788288288288288,1.19399309168163,"Variance calibration","Even M"
-0.786486486486486,1.19220749853953,"Variance calibration","Even M"
-0.784684684684685,1.19044744770148,"Variance calibration","Even M"
-0.782882882882883,1.18871245352945,"Variance calibration","Even M"
-0.781081081081081,1.18700204053411,"Variance calibration","Even M"
-0.779279279279279,1.18531574317401,"Variance calibration","Even M"
-0.777477477477478,1.18365310565715,"Variance calibration","Even M"
-0.775675675675676,1.18201368174501,"Variance calibration","Even M"
-0.773873873873874,1.18039703455919,"Variance calibration","Even M"
-0.772072072072072,1.17880273639077,"Variance calibration","Even M"
-0.77027027027027,1.17723036851227,"Variance calibration","Even M"
-0.768468468468469,1.17567952099251,"Variance calibration","Even M"
-0.766666666666667,1.17414979251426,"Variance calibration","Even M"
-0.764864864864865,1.17264079019475,"Variance calibration","Even M"
-0.763063063063063,1.17115212940904,"Variance calibration","Even M"
-0.761261261261261,1.16968343361638,"Variance calibration","Even M"
-0.759459459459459,1.16823433418945,"Variance calibration","Even M"
-0.757657657657658,1.16680447024658,"Variance calibration","Even M"
-0.755855855855856,1.16539348848682,"Variance calibration","Even M"
-0.754054054054054,1.16400104302808,"Variance calibration","Even M"
-0.752252252252252,1.1626267952481,"Variance calibration","Even M"
-0.75045045045045,1.16127041362844,"Variance calibration","Even M"
-0.748648648648649,1.15993157360125,"Variance calibration","Even M"
-0.746846846846847,1.15860995739906,"Variance calibration","Even M"
-0.745045045045045,1.15730525390741,"Variance calibration","Even M"
-0.743243243243243,1.15601715852027,"Variance calibration","Even M"
-0.741441441441441,1.15474537299835,"Variance calibration","Even M"
-0.73963963963964,1.15348960533019,"Variance calibration","Even M"
-0.737837837837838,1.15224956959602,"Variance calibration","Even M"
-0.736036036036036,1.15102498583433,"Variance calibration","Even M"
-0.734234234234234,1.14981557991119,"Variance calibration","Even M"
-0.732432432432433,1.14862108339218,"Variance calibration","Even M"
-0.730630630630631,1.14744123341703,"Variance calibration","Even M"
-0.728828828828829,1.14627577257679,"Variance calibration","Even M"
-0.727027027027027,1.1451244487936,"Variance calibration","Even M"
-0.725225225225225,1.14398701520296,"Variance calibration","Even M"
-0.723423423423423,1.14286323003851,"Variance calibration","Even M"
-0.721621621621622,1.14175285651922,"Variance calibration","Even M"
-0.71981981981982,1.14065566273902,"Variance calibration","Even M"
-0.718018018018018,1.13957142155883,"Variance calibration","Even M"
-0.716216216216216,1.13849991050076,"Variance calibration","Even M"
-0.714414414414414,1.13744091164485,"Variance calibration","Even M"
-0.712612612612613,1.1363942115278,"Variance calibration","Even M"
-0.710810810810811,1.13535960104409,"Variance calibration","Even M"
-0.709009009009009,1.13433687534918,"Variance calibration","Even M"
-0.707207207207207,1.13332583376485,"Variance calibration","Even M"
-0.705405405405405,1.13232627968667,"Variance calibration","Even M"
-0.703603603603604,1.13133802049345,"Variance calibration","Even M"
-0.701801801801802,1.13036086745875,"Variance calibration","Even M"
-0.7,1.12939463566435,"Variance calibration","Even M"
-0.698198198198198,1.12843914391564,"Variance calibration","Even M"
-0.696396396396396,1.1274942146589,"Variance calibration","Even M"
-0.694594594594595,1.12655967390049,"Variance calibration","Even M"
-0.692792792792793,1.12563535112776,"Variance calibration","Even M"
-0.690990990990991,1.12472107923183,"Variance calibration","Even M"
-0.689189189189189,1.1238166944321,"Variance calibration","Even M"
-0.687387387387387,1.12292203620241,"Variance calibration","Even M"
-0.685585585585586,1.12203694719893,"Variance calibration","Even M"
-0.683783783783784,1.1211612731897,"Variance calibration","Even M"
-0.681981981981982,1.12029486298572,"Variance calibration","Even M"
-0.68018018018018,1.11943756837365,"Variance calibration","Even M"
-0.678378378378378,1.11858924405003,"Variance calibration","Even M"
-0.676576576576577,1.11774974755704,"Variance calibration","Even M"
-0.674774774774775,1.11691893921963,"Variance calibration","Even M"
-0.672972972972973,1.11609668208423,"Variance calibration","Even M"
-0.671171171171171,1.11528284185877,"Variance calibration","Even M"
-0.669369369369369,1.11447728685409,"Variance calibration","Even M"
-0.667567567567568,1.11367988792673,"Variance calibration","Even M"
-0.665765765765766,1.11289051842302,"Variance calibration","Even M"
-0.663963963963964,1.11210905412442,"Variance calibration","Even M"
-0.662162162162162,1.11133537319419,"Variance calibration","Even M"
-0.66036036036036,1.11056935612524,"Variance calibration","Even M"
-0.658558558558559,1.10981088568921,"Variance calibration","Even M"
-0.656756756756757,1.10905984688668,"Variance calibration","Even M"
-0.654954954954955,1.10831612689859,"Variance calibration","Even M"
-0.653153153153153,1.10757961503874,"Variance calibration","Even M"
-0.651351351351351,1.10685020270743,"Variance calibration","Even M"
-0.64954954954955,1.10612778334609,"Variance calibration","Even M"
-0.647747747747748,1.10541225239308,"Variance calibration","Even M"
-0.645945945945946,1.1047035072404,"Variance calibration","Even M"
-0.644144144144144,1.10400144719145,"Variance calibration","Even M"
-0.642342342342342,1.10330597341978,"Variance calibration","Even M"
-0.640540540540541,1.1026169889288,"Variance calibration","Even M"
-0.638738738738739,1.10193439851233,"Variance calibration","Even M"
-0.636936936936937,1.10125810871622,"Variance calibration","Even M"
-0.635135135135135,1.1005880278007,"Variance calibration","Even M"
-0.633333333333333,1.09992406570373,"Variance calibration","Even M"
-0.631531531531532,1.09926613400509,"Variance calibration","Even M"
-0.62972972972973,1.09861414589139,"Variance calibration","Even M"
-0.627927927927928,1.0979680161218,"Variance calibration","Even M"
-0.626126126126126,1.09732766099468,"Variance calibration","Even M"
-0.624324324324324,1.09669299831487,"Variance calibration","Even M"
-0.622522522522523,1.09606394736181,"Variance calibration","Even M"
-0.620720720720721,1.09544042885836,"Variance calibration","Even M"
-0.618918918918919,1.09482236494035,"Variance calibration","Even M"
-0.617117117117117,1.09420967912684,"Variance calibration","Even M"
-0.615315315315315,1.09360229629103,"Variance calibration","Even M"
-0.613513513513513,1.0930001426319,"Variance calibration","Even M"
-0.611711711711712,1.09240314564642,"Variance calibration","Even M"
-0.60990990990991,1.09181123410251,"Variance calibration","Even M"
-0.608108108108108,1.09122433801249,"Variance calibration","Even M"
-0.606306306306306,1.09064238860724,"Variance calibration","Even M"
-0.604504504504505,1.0900653183109,"Variance calibration","Even M"
-0.602702702702703,1.0894930607162,"Variance calibration","Even M"
-0.600900900900901,1.08892555056026,"Variance calibration","Even M"
-0.599099099099099,1.08836272370106,"Variance calibration","Even M"
-0.597297297297297,1.08780451709438,"Variance calibration","Even M"
-0.595495495495496,1.08725086877124,"Variance calibration","Even M"
-0.593693693693694,1.08670171781594,"Variance calibration","Even M"
-0.591891891891892,1.08615700434452,"Variance calibration","Even M"
-0.59009009009009,1.08561666948372,"Variance calibration","Even M"
-0.588288288288288,1.08508065535051,"Variance calibration","Even M"
-0.586486486486486,1.08454890503193,"Variance calibration","Even M"
-0.584684684684685,1.08402136256553,"Variance calibration","Even M"
-0.582882882882883,1.08349797292014,"Variance calibration","Even M"
-0.581081081081081,1.08297868197717,"Variance calibration","Even M"
-0.579279279279279,1.08246343651225,"Variance calibration","Even M"
-0.577477477477478,1.08195218417736,"Variance calibration","Even M"
-0.575675675675676,1.08144487348327,"Variance calibration","Even M"
-0.573873873873874,1.08094145378247,"Variance calibration","Even M"
-0.572072072072072,1.08044187525244,"Variance calibration","Even M"
-0.57027027027027,1.07994608887925,"Variance calibration","Even M"
-0.568468468468468,1.07945404644162,"Variance calibration","Even M"
-0.566666666666667,1.07896570049526,"Variance calibration","Even M"
-0.564864864864865,1.0784810043576,"Variance calibration","Even M"
-0.563063063063063,1.07799991209283,"Variance calibration","Even M"
-0.561261261261261,1.0775223784973,"Variance calibration","Even M"
-0.55945945945946,1.07704835908522,"Variance calibration","Even M"
-0.557657657657658,1.07657781007472,"Variance calibration","Even M"
-0.555855855855856,1.07611068837413,"Variance calibration","Even M"
-0.554054054054054,1.07564695156868,"Variance calibration","Even M"
-0.552252252252252,1.07518655790739,"Variance calibration","Even M"
-0.55045045045045,1.07472946629031,"Variance calibration","Even M"
-0.548648648648649,1.074275636256,"Variance calibration","Even M"
-0.546846846846847,1.07382502796933,"Variance calibration","Even M"
-0.545045045045045,1.07337760220952,"Variance calibration","Even M"
-0.543243243243243,1.0729333203584,"Variance calibration","Even M"
-0.541441441441441,1.07249214438904,"Variance calibration","Even M"
-0.53963963963964,1.07205403685448,"Variance calibration","Even M"
-0.537837837837838,1.07161896087682,"Variance calibration","Even M"
-0.536036036036036,1.07118688013652,"Variance calibration","Even M"
-0.534234234234234,1.07075775886186,"Variance calibration","Even M"
-0.532432432432432,1.07033156181875,"Variance calibration","Even M"
-0.530630630630631,1.06990825430064,"Variance calibration","Even M"
-0.528828828828829,1.06948780211872,"Variance calibration","Even M"
-0.527027027027027,1.06907017159232,"Variance calibration","Even M"
-0.525225225225225,1.06865532953949,"Variance calibration","Even M"
-0.523423423423423,1.0682432432678,"Variance calibration","Even M"
-0.521621621621622,1.06783388056532,"Variance calibration","Even M"
-0.51981981981982,1.06742720969182,"Variance calibration","Even M"
-0.518018018018018,1.06702319937013,"Variance calibration","Even M"
-0.516216216216216,1.06662181877769,"Variance calibration","Even M"
-0.514414414414414,1.0662230375383,"Variance calibration","Even M"
-0.512612612612613,1.06582682571397,"Variance calibration","Even M"
-0.510810810810811,1.06543315379706,"Variance calibration","Even M"
-0.509009009009009,1.06504199270247,"Variance calibration","Even M"
-0.507207207207207,1.06465331376008,"Variance calibration","Even M"
-0.505405405405405,1.06426708870727,"Variance calibration","Even M"
-0.503603603603604,1.06388328968166,"Variance calibration","Even M"
-0.501801801801802,1.06350188921399,"Variance calibration","Even M"
-0.5,1.06312286022108,"Variance calibration","Even M"
-0.498198198198198,1.06274617599904,"Variance calibration","Even M"
-0.496396396396396,1.06237181021657,"Variance calibration","Even M"
-0.494594594594595,1.06199973690833,"Variance calibration","Even M"
-0.492792792792793,1.06162993046859,"Variance calibration","Even M"
-0.490990990990991,1.0612623656449,"Variance calibration","Even M"
-0.489189189189189,1.06089701753189,"Variance calibration","Even M"
-0.487387387387387,1.06053386156527,"Variance calibration","Even M"
-0.485585585585586,1.0601728735159,"Variance calibration","Even M"
-0.483783783783784,1.05981402948398,"Variance calibration","Even M"
-0.481981981981982,1.05945730589333,"Variance calibration","Even M"
-0.48018018018018,1.05910267948591,"Variance calibration","Even M"
-0.478378378378378,1.05875012731625,"Variance calibration","Even M"
-0.476576576576577,1.05839962674618,"Variance calibration","Even M"
-0.474774774774775,1.05805115543958,"Variance calibration","Even M"
-0.472972972972973,1.05770469135718,"Variance calibration","Even M"
-0.471171171171171,1.05736021275161,"Variance calibration","Even M"
-0.469369369369369,1.05701769816239,"Variance calibration","Even M"
-0.467567567567568,1.05667712641114,"Variance calibration","Even M"
-0.465765765765766,1.0563384765968,"Variance calibration","Even M"
-0.463963963963964,1.056001728091,"Variance calibration","Even M"
-0.462162162162162,1.0556668605335,"Variance calibration","Even M"
-0.46036036036036,1.05533385382771,"Variance calibration","Even M"
-0.458558558558559,1.05500268813632,"Variance calibration","Even M"
-0.456756756756757,1.05467334387697,"Variance calibration","Even M"
-0.454954954954955,1.05434580171809,"Variance calibration","Even M"
-0.453153153153153,1.0540200425747,"Variance calibration","Even M"
-0.451351351351351,1.05369604760441,"Variance calibration","Even M"
-0.44954954954955,1.0533737982034,"Variance calibration","Even M"
-0.447747747747748,1.05305327600257,"Variance calibration","Even M"
-0.445945945945946,1.05273446286366,"Variance calibration","Even M"
-0.444144144144144,1.05241734087554,"Variance calibration","Even M"
-0.442342342342342,1.05210189235049,"Variance calibration","Even M"
-0.440540540540541,1.05178809982063,"Variance calibration","Even M"
-0.438738738738739,1.05147594603433,"Variance calibration","Even M"
-0.436936936936937,1.0511654139528,"Variance calibration","Even M"
-0.435135135135135,1.05085648674658,"Variance calibration","Even M"
-0.433333333333333,1.05054914779228,"Variance calibration","Even M"
-0.431531531531532,1.05024338066926,"Variance calibration","Even M"
-0.42972972972973,1.0499391691564,"Variance calibration","Even M"
-0.427927927927928,1.04963649722894,"Variance calibration","Even M"
-0.426126126126126,1.04933534905539,"Variance calibration","Even M"
-0.424324324324324,1.04903570899445,"Variance calibration","Even M"
-0.422522522522523,1.04873756159203,"Variance calibration","Even M"
-0.420720720720721,1.04844089157835,"Variance calibration","Even M"
-0.418918918918919,1.04814568386498,"Variance calibration","Even M"
-0.417117117117117,1.04785192354208,"Variance calibration","Even M"
-0.415315315315315,1.04755959587558,"Variance calibration","Even M"
-0.413513513513514,1.04726868630447,"Variance calibration","Even M"
-0.411711711711712,1.04697918043808,"Variance calibration","Even M"
-0.40990990990991,1.04669106405351,"Variance calibration","Even M"
-0.408108108108108,1.04640432309301,"Variance calibration","Even M"
-0.406306306306306,1.04611894366142,"Variance calibration","Even M"
-0.404504504504505,1.04583491202373,"Variance calibration","Even M"
-0.402702702702703,1.04555221460258,"Variance calibration","Even M"
-0.400900900900901,1.04527083797589,"Variance calibration","Even M"
-0.399099099099099,1.04499076887447,"Variance calibration","Even M"
-0.397297297297297,1.04471199417973,"Variance calibration","Even M"
-0.395495495495496,1.04443450092136,"Variance calibration","Even M"
-0.393693693693694,1.04415827627514,"Variance calibration","Even M"
-0.391891891891892,1.04388330756068,"Variance calibration","Even M"
-0.39009009009009,1.0436095822393,"Variance calibration","Even M"
-0.388288288288288,1.04333708791189,"Variance calibration","Even M"
-0.386486486486487,1.04306581231683,"Variance calibration","Even M"
-0.384684684684685,1.04279574332791,"Variance calibration","Even M"
-0.382882882882883,1.04252686895235,"Variance calibration","Even M"
-0.381081081081081,1.04225917732881,"Variance calibration","Even M"
-0.379279279279279,1.0419926567254,"Variance calibration","Even M"
-0.377477477477478,1.04172729553783,"Variance calibration","Even M"
-0.375675675675676,1.04146308228746,"Variance calibration","Even M"
-0.373873873873874,1.04120000561951,"Variance calibration","Even M"
-0.372072072072072,1.04093805430121,"Variance calibration","Even M"
-0.37027027027027,1.04067721721999,"Variance calibration","Even M"
-0.368468468468468,1.04041748338176,"Variance calibration","Even M"
-0.366666666666667,1.04015884190919,"Variance calibration","Even M"
-0.364864864864865,1.03990128203993,"Variance calibration","Even M"
-0.363063063063063,1.03964479312505,"Variance calibration","Even M"
-0.361261261261261,1.03938936462729,"Variance calibration","Even M"
-0.359459459459459,1.03913498611952,"Variance calibration","Even M"
-0.357657657657658,1.0388816472831,"Variance calibration","Even M"
-0.355855855855856,1.03862933790636,"Variance calibration","Even M"
-0.354054054054054,1.03837804788301,"Variance calibration","Even M"
-0.352252252252252,1.03812776721066,"Variance calibration","Even M"
-0.35045045045045,1.03787848598934,"Variance calibration","Even M"
-0.348648648648649,1.03763019441998,"Variance calibration","Even M"
-0.346846846846847,1.03738288280304,"Variance calibration","Even M"
-0.345045045045045,1.03713654153705,"Variance calibration","Even M"
-0.343243243243243,1.03689116111721,"Variance calibration","Even M"
-0.341441441441442,1.03664673213404,"Variance calibration","Even M"
-0.33963963963964,1.03640324527203,"Variance calibration","Even M"
-0.337837837837838,1.03616069130828,"Variance calibration","Even M"
-0.336036036036036,1.03591906111122,"Variance calibration","Even M"
-0.334234234234234,1.03567834563931,"Variance calibration","Even M"
-0.332432432432432,1.03543853593978,"Variance calibration","Even M"
-0.330630630630631,1.03519962314737,"Variance calibration","Even M"
-0.328828828828829,1.03496159848311,"Variance calibration","Even M"
-0.327027027027027,1.03472445325314,"Variance calibration","Even M"
-0.325225225225225,1.03448817884744,"Variance calibration","Even M"
-0.323423423423423,1.03425276673876,"Variance calibration","Even M"
-0.321621621621622,1.03401820848139,"Variance calibration","Even M"
-0.31981981981982,1.03378449571005,"Variance calibration","Even M"
-0.318018018018018,1.03355162013879,"Variance calibration","Even M"
-0.316216216216216,1.03331957355985,"Variance calibration","Even M"
-0.314414414414414,1.03308834784261,"Variance calibration","Even M"
-0.312612612612613,1.03285793493251,"Variance calibration","Even M"
-0.310810810810811,1.03262832685,"Variance calibration","Even M"
-0.309009009009009,1.03239951568949,"Variance calibration","Even M"
-0.307207207207207,1.03217149361836,"Variance calibration","Even M"
-0.305405405405405,1.03194425287592,"Variance calibration","Even M"
-0.303603603603604,1.03171778577244,"Variance calibration","Even M"
-0.301801801801802,1.0314920846882,"Variance calibration","Even M"
-0.3,1.03126714207246,"Variance calibration","Even M"
-0.298198198198198,1.03104295044258,"Variance calibration","Even M"
-0.296396396396396,1.03081950238307,"Variance calibration","Even M"
-0.294594594594595,1.03059679054465,"Variance calibration","Even M"
-0.292792792792793,1.03037480764336,"Variance calibration","Even M"
-0.290990990990991,1.03015354645967,"Variance calibration","Even M"
-0.289189189189189,1.02993299983761,"Variance calibration","Even M"
-0.287387387387387,1.02971316068388,"Variance calibration","Even M"
-0.285585585585586,1.02949402196701,"Variance calibration","Even M"
-0.283783783783784,1.02927557671651,"Variance calibration","Even M"
-0.281981981981982,1.02905781802207,"Variance calibration","Even M"
-0.28018018018018,1.02884073903269,"Variance calibration","Even M"
-0.278378378378378,1.02862433295594,"Variance calibration","Even M"
-0.276576576576577,1.02840859305709,"Variance calibration","Even M"
-0.274774774774775,1.02819351265839,"Variance calibration","Even M"
-0.272972972972973,1.02797908513828,"Variance calibration","Even M"
-0.271171171171171,1.0277653039306,"Variance calibration","Even M"
-0.269369369369369,1.02755216252388,"Variance calibration","Even M"
-0.267567567567568,1.02733965446058,"Variance calibration","Even M"
-0.265765765765766,1.02712777333635,"Variance calibration","Even M"
-0.263963963963964,1.02691651279932,"Variance calibration","Even M"
-0.262162162162162,1.02670586654942,"Variance calibration","Even M"
-0.26036036036036,1.02649582833761,"Variance calibration","Even M"
-0.258558558558559,1.02628639196527,"Variance calibration","Even M"
-0.256756756756757,1.02607755128344,"Variance calibration","Even M"
-0.254954954954955,1.02586930019221,"Variance calibration","Even M"
-0.253153153153153,1.02566163264003,"Variance calibration","Even M"
-0.251351351351351,1.02545454262307,"Variance calibration","Even M"
-0.24954954954955,1.02524802418453,"Variance calibration","Even M"
-0.247747747747748,1.02504207141408,"Variance calibration","Even M"
-0.245945945945946,1.02483667844715,"Variance calibration","Even M"
-0.244144144144144,1.02463183946437,"Variance calibration","Even M"
-0.242342342342342,1.02442754869094,"Variance calibration","Even M"
-0.240540540540541,1.02422380039601,"Variance calibration","Even M"
-0.238738738738739,1.02402058889209,"Variance calibration","Even M"
-0.236936936936937,1.02381790853448,"Variance calibration","Even M"
-0.235135135135135,1.02361575372069,"Variance calibration","Even M"
-0.233333333333333,1.02341411888983,"Variance calibration","Even M"
-0.231531531531531,1.02321299852208,"Variance calibration","Even M"
-0.22972972972973,1.02301238713811,"Variance calibration","Even M"
-0.227927927927928,1.02281227929856,"Variance calibration","Even M"
-0.226126126126126,1.02261266960345,"Variance calibration","Even M"
-0.224324324324324,1.02241355269167,"Variance calibration","Even M"
-0.222522522522523,1.02221492324046,"Variance calibration","Even M"
-0.220720720720721,1.02201677596485,"Variance calibration","Even M"
-0.218918918918919,1.02181910561717,"Variance calibration","Even M"
-0.217117117117117,1.02162190698654,"Variance calibration","Even M"
-0.215315315315315,1.02142517489834,"Variance calibration","Even M"
-0.213513513513514,1.02122890421373,"Variance calibration","Even M"
-0.211711711711712,1.02103308982917,"Variance calibration","Even M"
-0.20990990990991,1.0208377266759,"Variance calibration","Even M"
-0.208108108108108,1.02064280971947,"Variance calibration","Even M"
-0.206306306306306,1.02044833395928,"Variance calibration","Even M"
-0.204504504504505,1.02025429442811,"Variance calibration","Even M"
-0.202702702702703,1.02006068619161,"Variance calibration","Even M"
-0.200900900900901,1.01986750434793,"Variance calibration","Even M"
-0.199099099099099,1.01967474402716,"Variance calibration","Even M"
-0.197297297297297,1.01948240039097,"Variance calibration","Even M"
-0.195495495495495,1.01929046863212,"Variance calibration","Even M"
-0.193693693693694,1.01909894397405,"Variance calibration","Even M"
-0.191891891891892,1.0189078216704,"Variance calibration","Even M"
-0.19009009009009,1.01871709700464,"Variance calibration","Even M"
-0.188288288288288,1.01852676528962,"Variance calibration","Even M"
-0.186486486486486,1.01833682186714,"Variance calibration","Even M"
-0.184684684684685,1.01814726210756,"Variance calibration","Even M"
-0.182882882882883,1.01795808140938,"Variance calibration","Even M"
-0.181081081081081,1.01776927519883,"Variance calibration","Even M"
-0.179279279279279,1.01758083892948,"Variance calibration","Even M"
-0.177477477477477,1.01739276808183,"Variance calibration","Even M"
-0.175675675675676,1.01720505816295,"Variance calibration","Even M"
-0.173873873873874,1.01701770470605,"Variance calibration","Even M"
-0.172072072072072,1.01683070327012,"Variance calibration","Even M"
-0.17027027027027,1.01664404943957,"Variance calibration","Even M"
-0.168468468468469,1.01645773882381,"Variance calibration","Even M"
-0.166666666666667,1.01627176705691,"Variance calibration","Even M"
-0.164864864864865,1.01608612979723,"Variance calibration","Even M"
-0.163063063063063,1.01590082272706,"Variance calibration","Even M"
-0.161261261261261,1.01571584155223,"Variance calibration","Even M"
-0.159459459459459,1.0155311820018,"Variance calibration","Even M"
-0.157657657657658,1.01534683982766,"Variance calibration","Even M"
-0.155855855855856,1.01516281080423,"Variance calibration","Even M"
-0.154054054054054,1.01497909072806,"Variance calibration","Even M"
-0.152252252252252,1.01479567541755,"Variance calibration","Even M"
-0.15045045045045,1.01461256071255,"Variance calibration","Even M"
-0.148648648648649,1.01442974247407,"Variance calibration","Even M"
-0.146846846846847,1.01424721658393,"Variance calibration","Even M"
-0.145045045045045,1.01406497894441,"Variance calibration","Even M"
-0.143243243243243,1.01388302547796,"Variance calibration","Even M"
-0.141441441441441,1.01370135212687,"Variance calibration","Even M"
-0.13963963963964,1.01351995485293,"Variance calibration","Even M"
-0.137837837837838,1.01333882963713,"Variance calibration","Even M"
-0.136036036036036,1.01315797247933,"Variance calibration","Even M"
-0.134234234234234,1.01297737939797,"Variance calibration","Even M"
-0.132432432432432,1.01279704642975,"Variance calibration","Even M"
-0.130630630630631,1.01261696962931,"Variance calibration","Even M"
-0.128828828828829,1.01243714506895,"Variance calibration","Even M"
-0.127027027027027,1.01225756883833,"Variance calibration","Even M"
-0.125225225225225,1.01207823704414,"Variance calibration","Even M"
-0.123423423423423,1.01189914580984,"Variance calibration","Even M"
-0.121621621621622,1.01172029127536,"Variance calibration","Even M"
-0.11981981981982,1.01154166959679,"Variance calibration","Even M"
-0.118018018018018,1.0113632769461,"Variance calibration","Even M"
-0.116216216216216,1.01118510951087,"Variance calibration","Even M"
-0.114414414414414,1.01100716349398,"Variance calibration","Even M"
-0.112612612612613,1.01082943511335,"Variance calibration","Even M"
-0.110810810810811,1.01065192060166,"Variance calibration","Even M"
-0.109009009009009,1.01047461620606,"Variance calibration","Even M"
-0.107207207207207,1.01029751818789,"Variance calibration","Even M"
-0.105405405405405,1.01012062282242,"Variance calibration","Even M"
-0.103603603603604,1.0099439263986,"Variance calibration","Even M"
-0.101801801801802,1.00976742521874,"Variance calibration","Even M"
-0.1,1.00959111559828,"Variance calibration","Even M"
-0.0981981981981982,1.00941499386551,"Variance calibration","Even M"
-0.0963963963963964,1.00923905636132,"Variance calibration","Even M"
-0.0945945945945946,1.00906329943892,"Variance calibration","Even M"
-0.0927927927927928,1.00888771946358,"Variance calibration","Even M"
-0.0909909909909909,1.00871231281241,"Variance calibration","Even M"
-0.0891891891891892,1.00853707587406,"Variance calibration","Even M"
-0.0873873873873874,1.00836200504846,"Variance calibration","Even M"
-0.0855855855855856,1.00818709674661,"Variance calibration","Even M"
-0.0837837837837838,1.00801234739031,"Variance calibration","Even M"
-0.081981981981982,1.00783775341187,"Variance calibration","Even M"
-0.0801801801801801,1.00766331125393,"Variance calibration","Even M"
-0.0783783783783784,1.00748901736917,"Variance calibration","Even M"
-0.0765765765765766,1.00731486822005,"Variance calibration","Even M"
-0.0747747747747748,1.00714086027863,"Variance calibration","Even M"
-0.072972972972973,1.00696699002623,"Variance calibration","Even M"
-0.0711711711711712,1.00679325395329,"Variance calibration","Even M"
