"boundary","parity","x","Q","method","rejection","mcse","q95_over_chisq","hull_failure","in_4_6_band"
"positive","not_applicable",2,6,"Combined",0.15925,0.00258736775024348,Inf,0.0788,FALSE
"positive","not_applicable",2,8,"Variance",0.14985,0.00252383614266061,2.99004694654866,0.02845,FALSE
"positive","not_applicable",2,8,"Combined",0.11965,0.00229492785834326,2.38908262145404,0.02845,FALSE
"positive","not_applicable",2,10,"Variance",0.1211,0.00230688957256302,1.99281971365299,0.01075,FALSE
"positive","not_applicable",2,10,"Combined",0.0988,0.0021099592413125,1.67458711054087,0.01075,FALSE
"positive","not_applicable",2,15,"Variance",0.08825,0.00200576590732817,1.4114931076947,0.00075,FALSE
"positive","not_applicable",2,15,"Combined",0.07445,0.00185616806216463,1.26260729498859,0.00075,FALSE
"positive","not_applicable",2,20,"Variance",0.07295,0.00183886238609636,1.22099784441214,0.00015,FALSE
"positive","not_applicable",2,20,"Combined",0.06255,0.00171227184611556,1.12485182370798,0.00015,FALSE
"positive","not_applicable",2,30,"Variance",0.0626,0.00171291038878279,1.10826207323404,0,FALSE
"positive","not_applicable",2,30,"Combined",0.0555,0.00161894641665498,1.05035404265311,0,TRUE
"positive","not_applicable",2,50,"Variance",0.05575,0.00162237383947104,1.04580928036607,0,TRUE
"positive","not_applicable",2,50,"Combined",0.05145,0.00156209630785045,1.01314522172254,0,TRUE
"positive","not_applicable",2,100,"Variance",0.0529,0.00158274429394012,1.02246820780504,0,TRUE
"positive","not_applicable",2,100,"Combined",0.0509,0.00155417486146186,1.00654571701209,0,TRUE
"positive","not_applicable",2,200,"Variance",0.04955,0.00153451616967694,0.995638934577041,0,TRUE
"positive","not_applicable",2,200,"Combined",0.04885,0.00152419942100763,0.98789755193023,0,TRUE
"positive","not_applicable",3,5,"Variance",0.2207,0.0029325032821806,Inf,0.10365,FALSE
"positive","not_applicable",3,5,"Combined",0.1762,0.00269400779508894,Inf,0.10365,FALSE
"positive","not_applicable",3,6,"Variance",0.1816,0.00272599926632419,Inf,0.0616,FALSE
"positive","not_applicable",3,6,"Combined",0.1446,0.00248687394131669,Inf,0.0616,FALSE
"positive","not_applicable",3,8,"Variance",0.13595,0.00242350569939499,2.42311746387091,0.0174,FALSE
"positive","not_applicable",3,8,"Combined",0.10865,0.00220051332079585,1.97098298837363,0.0174,FALSE
"positive","not_applicable",3,10,"Variance",0.1121,0.00223084726057164,1.71120164868608,0.00655,FALSE
"positive","not_applicable",3,10,"Combined",0.08995,0.00202310401981707,1.4568078622473,0.00655,FALSE
"positive","not_applicable",3,15,"Variance",0.08365,0.00195771138705377,1.32461345166996,0.00045,FALSE
"positive","not_applicable",3,15,"Combined",0.07045,0.00180951371229952,1.19405007027582,0.00045,FALSE
"positive","not_applicable",3,20,"Variance",0.0727,0.00183595629032938,1.2123528012359,5e-05,FALSE
"positive","not_applicable",3,20,"Combined",0.06325,0.00172118327757389,1.12297561378383,5e-05,FALSE
"positive","not_applicable",3,30,"Variance",0.06255,0.00171227184611556,1.12233027679958,0,FALSE
"positive","not_applicable",3,30,"Combined",0.05705,0.00164005026599797,1.06732201092209,0,TRUE
"positive","not_applicable",3,50,"Variance",0.055,0.00161206389451535,1.04465768293081,0,TRUE
"positive","not_applicable",3,50,"Combined",0.0517,0.00156568052296757,1.01400483469029,0,TRUE
"positive","not_applicable",3,100,"Variance",0.05235,0.0015749520230788,1.0276439842655,0,TRUE
"positive","not_applicable",3,100,"Combined",0.05085,0.00155345224419678,1.0125922393015,0,TRUE
"positive","not_applicable",3,200,"Variance",0.0537,0.00159399356962316,1.02808780383317,0,TRUE
"positive","not_applicable",3,200,"Combined",0.0526,0.00157849992081089,1.02056495055163,0,TRUE
"positive","not_applicable",4,5,"Variance",0.20565,0.00285795449141514,Inf,0.0905,FALSE
"positive","not_applicable",4,5,"Combined",0.16595,0.00263068999979093,Inf,0.0905,FALSE
"positive","not_applicable",4,6,"Variance",0.16955,0.00265332619084047,Inf,0.05065,FALSE
"positive","not_applicable",4,6,"Combined",0.13455,0.00241294734194512,Inf,0.05065,FALSE
"positive","not_applicable",4,8,"Variance",0.1297,0.00237568842654082,2.29711427361932,0.0146,FALSE
"positive","not_applicable",4,8,"Combined",0.1045,0.00216309673847473,1.87788262856134,0.0146,FALSE
"positive","not_applicable",4,10,"Variance",0.10765,0.00219159163052791,1.71680181858926,0.00435,FALSE
"positive","not_applicable",4,10,"Combined",0.0868,0.00199080084388168,1.46685478974786,0.00435,FALSE
"positive","not_applicable",4,15,"Variance",0.0776,0.00189180125806069,1.26400216358227,0.00015,FALSE
"positive","not_applicable",4,15,"Combined",0.0642,0.00173318146770614,1.14178447600901,0.00015,FALSE
"positive","not_applicable",4,20,"Variance",0.06955,0.00179878844642721,1.1727591709528,0,FALSE
"positive","not_applicable",4,20,"Combined",0.059,0.00166611824310281,1.08787458518275,0,TRUE
"positive","not_applicable",4,30,"Variance",0.06045,0.00168516761035809,1.08964522382731,0,FALSE
"positive","not_applicable",4,30,"Combined",0.05465,0.00160722396541366,1.0371663189026,0,TRUE
"positive","not_applicable",4,50,"Variance",0.05395,0.0015974886149829,1.03514393641452,0,TRUE
"positive","not_applicable",4,50,"Combined",0.0505,0.00154838222025442,1.00527723762854,0,TRUE
"positive","not_applicable",4,100,"Variance",0.05495,0.00161137359882803,1.04480266453018,0,TRUE
"positive","not_applicable",4,100,"Combined",0.05335,0.00158908428819871,1.02974728264911,0,TRUE
"positive","not_applicable",4,200,"Variance",0.04725,0.00150029059685116,0.978585995995521,0,TRUE
"positive","not_applicable",4,200,"Combined",0.0466,0.00149044355813966,0.971539441736276,0,TRUE
"positive","not_applicable",6,5,"Variance",0.2044,0.00285149644923503,Inf,0.07935,FALSE
"positive","not_applicable",6,5,"Combined",0.1608,0.0025975311355208,Inf,0.07935,FALSE
"positive","not_applicable",6,6,"Variance",0.1653,0.00262655582464946,5.27295068316853,0.043,FALSE
"positive","not_applicable",6,6,"Combined",0.12935,0.00237295783253727,3.99292314729968,0.043,FALSE
"positive","not_applicable",6,8,"Variance",0.124,0.00233049350996736,2.07160712759065,0.0113,FALSE
"positive","not_applicable",6,8,"Combined",0.0983,0.00210519725916599,1.69551805532408,0.0113,FALSE
"positive","not_applicable",6,10,"Variance",0.1015,0.00213538930876784,1.62817672027221,0.00335,FALSE
"positive","not_applicable",6,10,"Combined",0.08245,0.00194489071029711,1.39211421910581,0.00335,FALSE
"positive","not_applicable",6,15,"Variance",0.07815,0.00189792752100811,1.27586229296396,0.00015,FALSE
"positive","not_applicable",6,15,"Combined",0.0644,0.00173569352133376,1.15282440225923,0.00015,FALSE
"positive","not_applicable",6,20,"Variance",0.066,0.00175561954876334,1.16032176048031,0,FALSE
"positive","not_applicable",6,20,"Combined",0.0577,0.00164879819868897,1.07649660896115,0,TRUE
"positive","not_applicable",6,30,"Variance",0.0587,0.00166214184111946,1.07798286389716,0,TRUE
"positive","not_applicable",6,30,"Combined",0.05305,0.00158486115322447,1.02612489500771,0,TRUE
"positive","not_applicable",6,50,"Variance",0.0544,0.0016037555923519,1.04680184811418,0,TRUE
"positive","not_applicable",6,50,"Combined",0.05165,0.00156496449640239,1.01661497314736,0,TRUE
"positive","not_applicable",6,100,"Variance",0.05335,0.00158908428819871,1.02714537247913,0,TRUE
"positive","not_applicable",6,100,"Combined",0.05145,0.00156209630785045,1.01234562060172,0,TRUE
"positive","not_applicable",6,200,"Variance",0.05075,0.00155200575868777,1.00502389977103,0,TRUE
"positive","not_applicable",6,200,"Combined",0.0495,0.00153378209012884,0.997785905142815,0,TRUE
"positive","not_applicable",8,5,"Variance",0.1995,0.00282577201840488,Inf,0.0753,FALSE
"positive","not_applicable",8,5,"Combined",0.1565,0.0025691219317113,Inf,0.0753,FALSE
"positive","not_applicable",8,6,"Variance",0.1644,0.00262080750914675,4.7257369788697,0.04065,FALSE
"positive","not_applicable",8,6,"Combined",0.129,0.00237022150863585,3.57511308811291,0.04065,FALSE
"positive","not_applicable",8,8,"Variance",0.12255,0.00231874424527588,2.11519854692905,0.01105,FALSE
"positive","not_applicable",8,8,"Combined",0.0973,0.00209562293841235,1.72972851964776,0.01105,FALSE
"positive","not_applicable",8,10,"Variance",0.10335,0.00215254242118477,1.60737652338217,0.00225,FALSE
"positive","not_applicable",8,10,"Combined",0.082,0.00194005154570697,1.37332318639868,0.00225,FALSE
"positive","not_applicable",8,15,"Variance",0.0758,0.00187155496846873,1.24715352217832,1e-04,FALSE
"positive","not_applicable",8,15,"Combined",0.0626,0.00171291038878279,1.12628444733014,1e-04,FALSE
"positive","not_applicable",8,20,"Variance",0.06865,0.00178797619531134,1.18465905036493,0,FALSE
"positive","not_applicable",8,20,"Combined",0.0593,0.00167008248299298,1.09862028984088,0,TRUE
"positive","not_applicable",8,30,"Variance",0.05905,0.00166677979199413,1.08456478147307,0,TRUE
"positive","not_applicable",8,30,"Combined",0.05295,0.00158345030708261,1.03209503804692,0,TRUE
"positive","not_applicable",8,50,"Variance",0.0545,0.00160514407453038,1.04896994104294,0,TRUE
"positive","not_applicable",8,50,"Combined",0.05165,0.00156496449640239,1.01854129188626,0,TRUE
"positive","not_applicable",8,100,"Variance",0.0501,0.00154256264054333,1.00080630294327,0,TRUE
"positive","not_applicable",8,100,"Combined",0.0484,0.00151752166376629,0.986297695009794,0,TRUE
"positive","not_applicable",8,200,"Variance",0.05195,0.00156925456029288,1.01805353863035,0,TRUE
"positive","not_applicable",8,200,"Combined",0.05115,0.00155778171609504,1.01067603663966,0,TRUE
"positive","not_applicable",12,5,"Variance",0.1882,0.00276388096704616,Inf,0.06635,FALSE
"positive","not_applicable",12,5,"Combined",0.1482,0.00251233715890205,Inf,0.06635,FALSE
"positive","not_applicable",12,6,"Variance",0.1639,0.00261760186048222,4.76022302909776,0.0398,FALSE
"positive","not_applicable",12,6,"Combined",0.1267,0.00235209598018448,3.5936623339619,0.0398,FALSE
"positive","not_applicable",12,8,"Variance",0.119,0.00228953051956072,1.93886258262624,0.00935,FALSE
"positive","not_applicable",12,8,"Combined",0.09475,0.00207089880848872,1.58296210115319,0.00935,FALSE
"positive","not_applicable",12,10,"Variance",0.10275,0.00214700299836772,1.63456544743213,0.00265,FALSE
"positive","not_applicable",12,10,"Combined",0.08275,0.00194810725449088,1.39471659375443,0.00265,FALSE
"positive","not_applicable",12,15,"Variance",0.07995,0.00191778514828956,1.28826229902486,5e-05,FALSE
"positive","not_applicable",12,15,"Combined",0.067,0.00176792250961404,1.16236984508635,5e-05,FALSE
"positive","not_applicable",12,20,"Variance",0.07095,0.00181543517510265,1.20515836031765,0,FALSE
"positive","not_applicable",12,20,"Combined",0.0613,0.00169620620798298,1.11687552494424,0,FALSE
"positive","not_applicable",12,30,"Variance",0.0587,0.00166214184111946,1.08430181829754,0,TRUE
"positive","not_applicable",12,30,"Combined",0.05265,0.00157920830639913,1.03137613716596,0,TRUE
"positive","not_applicable",12,50,"Variance",0.0542,0.00160097407849097,1.04685524480676,0,TRUE
"positive","not_applicable",12,50,"Combined",0.05175,0.00156639614242375,1.01620920446984,0,TRUE
"positive","not_applicable",12,100,"Variance",0.0499,0.00153964265334525,0.999332892840776,0,TRUE
"positive","not_applicable",12,100,"Combined",0.0482,0.00151454217504829,0.984710008834553,0,TRUE
"positive","not_applicable",12,200,"Variance",0.05125,0.00155922156058721,1.01445781938079,0,TRUE
"positive","not_applicable",12,200,"Combined",0.05065,0.00155055760131638,1.00703687132551,0,TRUE
"negative","even",0.25,5,"Variance",0.17275,0.00267308284102831,8.3778286811986,0.048,FALSE
