"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian","inside formal moment assumptions",0.3,"phi = 0.30",64,8,8,4,100000,0,0.659340659340659,0.225217874717521,-0.434122784623138,1.30690579640054,0.927139398473282,0.972735713264335,0.0455963147910521,0.139339573600463,0.00101,0.02615,0.00978
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian","inside formal moment assumptions",0.3,"phi = 0.30",64,16,4,5,100000,0,0.659340659340659,0.0257187862699856,-0.633621873070674,1.86914194921514,0.968771686508175,0.996609652174119,0.027837965665944,0.0842398777514061,0.00325,0.04634,0.13066
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian","inside formal moment assumptions",0.35,"phi = 0.35",64,4,16,2,100000,0,0.797720797720798,0.526654458877098,-0.271066338843699,0.401537492815827,0.813704832311576,0.875214851945389,0.0615100196338133,0.0931314810971968,0,0.00044,1e-04
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian","inside formal moment assumptions",0.35,"phi = 0.35",64,8,8,4,100000,0,0.797720797720798,0.368828812611467,-0.428891985109331,1.22745189746827,0.911670772632866,0.957197471216703,0.0455266985838374,0.131453561058901,0.00067,0.01932,0.00958
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian","inside formal moment assumptions",0.35,"phi = 0.35",64,16,4,5,100000,0,0.797720797720798,0.171864457380763,-0.625856340340034,1.79818358187792,0.962134874539964,0.989903863644605,0.0277689891046411,0.0813467881432107,0.00241,0.038,0.1321
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian","inside formal moment assumptions",0.4,"phi = 0.40",64,4,16,2,100000,0,0.952380952380952,0.605866205084531,-0.346514747296422,0.429637995058367,0.779601208459214,0.856401780714369,0.0768005722551542,0.0975864660228025,0,0.00017,0.00011
"gaussian_phi040_N64_M8_Q8","gaussian_phi040_N64","gaussian","Gaussian","inside formal moment assumptions",0.4,"phi = 0.40",64,8,8,4,100000,0,0.952380952380952,0.529619519799051,-0.422761432581902,1.13767262769731,0.894339016314199,0.93969681461933,0.0453577983051304,0.122487849610872,0.00048,0.01324,0.01076
"gaussian_phi040_N64_M16_Q4","gaussian_phi040_N64","gaussian","Gaussian","inside formal moment assumptions",0.4,"phi = 0.40",64,16,4,5,100000,0,0.952380952380952,0.346328609288533,-0.606052343092419,1.70746692669736,0.954682805407657,0.981856357824413,0.0271735524167559,0.0775762520939981,0.00156,0.03069,0.13362
"gaussian_phi045_N64_M4_Q16","gaussian_phi045_N64","gaussian","Gaussian","inside formal moment assumptions",0.45,"phi = 0.45",64,4,16,2,100000,0,1.12852664576803,0.676441762055014,-0.452084883713011,0.50239166258075,0.742530714000798,0.839585034782646,0.0970543207818481,0.110162650846789,0,8e-05,0.00014
"gaussian_phi045_N64_M8_Q8","gaussian_phi045_N64","gaussian","Gaussian","inside formal moment assumptions",0.45,"phi = 0.45",64,8,8,4,100000,0,1.12852664576803,0.685845405253801,-0.442681240514224,1.0490710590231,0.874593276631058,0.922626398878457,0.0480331222473986,0.113651179931355,2e-04,0.00883,0.01112
"gaussian_phi045_N64_M16_Q4","gaussian_phi045_N64","gaussian","Gaussian","inside formal moment assumptions",0.45,"phi = 0.45",64,16,4,5,100000,0,1.12852664576803,0.529411064191875,-0.59911558157615,1.59938117504451,0.946150980832547,0.973393211336606,0.0272422305040594,0.0730878631560539,0.00123,0.02262,0.13258
"gaussian_phi050_N64_M4_Q16","gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.50",64,4,16,2,100000,0,1.33333333333333,0.740849780435216,-0.592483552898117,0.622308233195423,0.702127659574468,0.824193189222823,0.122065529648355,0.130237574169876,0,3e-05,9e-05
"gaussian_phi050_N64_M8_Q8","gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.50",64,8,8,4,100000,0,1.33333333333333,0.845608031166685,-0.487725302166648,0.980020560515571,0.851728723404255,0.90502762166816,0.0532988982639048,0.106827184303889,0.00012,0.00536,0.01142
"gaussian_phi050_N64_M16_Q4","gaussian_phi050_N64","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.50",64,16,4,5,100000,0,1.33333333333333,0.729489313105678,-0.603844020227656,1.48792196656951,0.936171511386303,0.964067828936342,0.0278963175500384,0.0684685011130697,0.00096,0.01597,0.13618
"gaussian_phi055_N64_M4_Q16","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions",0.55,"phi = 0.55",64,4,16,2,100000,0,1.57706093189964,0.800836693899454,-0.776224238000187,0.793214156190242,0.658027331189711,0.809824515989362,0.151797184799652,0.156746550369992,0,1e-05,0.00027
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions",0.55,"phi = 0.55",64,8,8,4,100000,0,1.57706093189964,1.00572586583343,-0.57133506606621,0.934025932937284,0.824843497136972,0.887292267603177,0.0624487704662048,0.102312979974989,5e-05,0.00288,0.01312
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions",0.55,"phi = 0.55",64,16,4,5,100000,0,1.57706093189964,0.934372595646721,-0.642688336252921,1.38124588876057,0.924214710619743,0.954455845251199,0.0302411346314565,0.0641692236893651,0.00037,0.01,0.13873
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions",0.6,"phi = 0.60",64,4,16,2,100000,0,1.875,0.855568659794218,-1.01943134020578,1.02914747663089,0.609867203219316,0.796683506813318,0.186816303594002,0.189856822985264,0,0,0.00036
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions",0.6,"phi = 0.60",64,8,8,4,100000,0,1.875,1.15868358643264,-0.716316413567363,0.952250335634,0.792787805231388,0.870239346263884,0.077451541032496,0.104012680695321,1e-05,0.00123,0.01465
"gaussian_phi060_N64_M16_Q4","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions",0.6,"phi = 0.60",64,16,4,5,100000,0,1.875,1.14197205398576,-0.733027946014239,1.30283670995519,0.909490798107535,0.944637198876853,0.035146400769319,0.0613157447523546,0.00021,0.00592,0.14228
