"scenario_id","innovation","module","panel","series","regime","regime_label","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","N_label","design_id","alpha_effective","L","seed"
"gaussian_phi025_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.25,64,16,4,0.25,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.25","N = 64","gaussian_phi025_N64_M16_Q4",0.666666666666667,5,2115069295
"gaussian_phi030_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.3,64,4,16,0.3,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.30","N = 64","gaussian_phi030_N64_M4_Q16",0.333333333333333,2,2120072795
"gaussian_phi030_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.3,64,8,8,0.3,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.30","N = 64","gaussian_phi030_N64_M8_Q8",0.5,4,2120072795
"gaussian_phi030_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.3,64,16,4,0.3,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.30","N = 64","gaussian_phi030_N64_M16_Q4",0.666666666666667,5,2120072795
"gaussian_phi035_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.35,64,4,16,0.35,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.35","N = 64","gaussian_phi035_N64_M4_Q16",0.333333333333333,2,2125076295
"gaussian_phi035_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.35,64,8,8,0.35,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.35","N = 64","gaussian_phi035_N64_M8_Q8",0.5,4,2125076295
"gaussian_phi035_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.35,64,16,4,0.35,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.35","N = 64","gaussian_phi035_N64_M16_Q4",0.666666666666667,5,2125076295
"gaussian_phi040_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.4,64,4,16,0.4,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.40","N = 64","gaussian_phi040_N64_M4_Q16",0.333333333333333,2,2130079795
"gaussian_phi040_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.4,64,8,8,0.4,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.40","N = 64","gaussian_phi040_N64_M8_Q8",0.5,4,2130079795
"gaussian_phi040_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.4,64,16,4,0.4,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.40","N = 64","gaussian_phi040_N64_M16_Q4",0.666666666666667,5,2130079795
