"design_id","scenario_id","innovation","innovation_label","assumption_status","severity_group","phi","phi_label","N","M","Q","L","B_point","B_CI","statistic","coverage","coverage_error","coverage_mcse","gaussian_paired_coverage_error","gaussian_paired_error_mcse","rejection","mean_statistic_finite","ci_subset_coverage","ci_subset_coverage_mcse","n_finite_lengths","mean_length","mean_length_mcse","sd_length","median_length","q25_length","q75_length","q90_length","q95_length","mean_component_length","normalized_mean_length","relative_mean_length_to_raw","disconnected_rate","nonregular_rate","interval_failure_rate","convex_failure_rate"
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"VK_leading_oracle",0.90722,-0.0427799999999999,0.000917452296307552,-0.04167,0.000810149785179719,0.09278,1.38492513876549,0.91045,0.00201904429743381,20000,0.482809435746038,0.000932861918863404,0.131926597747802,0.476052948518046,0.389543185241983,0.567684843743628,0.657059741593089,0.711414012761313,0.482809435746038,0.985343484991311,1.10305295271205,0,0,0,0.00842
"gaussian_phi000_N64_M8_Q8","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,8,8,4,100000,20000,"F_feasible_leading",0.90432,-0.0456799999999999,0.000930189967694771,-0.04457,0.000854659262761806,0.09568,1.42298753240499,0.9064,0.00205959996115751,20000,0.497114538075873,0.00110455720595412,0.156207978107724,0.488874902910649,0.383740695275369,0.598841869827886,0.705632558277278,0.768397014253574,0.497114538075873,1.01453810783677,1.13573517512841,0,0,0,0.00842
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"raw",0.76135,-0.18865,0.00134794724488757,-0.18754,0.00127188979909291,0.23865,1.7611706247756,0.7629,0.00300735423586913,20000,0.345943638662808,0.00103441029616558,0.146287706989574,0.332959239757466,0.238016007979982,0.438467356058718,0.540722571125452,0.606146552661865,0.345943638662808,0.706020399132979,1,0,0,0,0.12612
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"K_leading",0.81341,-0.13659,0.00123196660628444,-0.13548,0.00116398678886508,0.18659,1.10073164048475,0.81435,0.0027494006392303,20000,0.406297654357089,0.00121791434154787,0.17223909796257,0.391136782030783,0.279569670208743,0.51465906172119,0.635096518357006,0.71333650034409,0.406297654357089,0.829194123079634,1.17446199018883,0,0,0,0.12612
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"V_oracle",0.76135,-0.18865,0.00134794724488757,-0.18754,0.00127188979909291,0.23865,1.7611706247756,0.7629,0.00300735423586913,20000,0.345943638662808,0.00103441029616558,0.146287706989574,0.332959239757466,0.238016007979982,0.438467356058718,0.540722571125452,0.606146552661865,0.345943638662808,0.706020399132979,1,0,0,0,0.12612
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"V_feasible",0.75804,-0.19196,0.00135430926453303,-0.19085,0.00128393117408707,0.24196,1.80780650752004,0.75985,0.00302057922839312,20000,0.347978105609644,0.00108759498763807,0.153809158188675,0.332531262388101,0.233782535718156,0.444684384591465,0.553497573583852,0.622833272582904,0.347978105609644,0.710172448788755,1.00588092024094,0,0,0,0.12612
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"VK_leading_oracle",0.81341,-0.13659,0.00123196660628444,-0.13548,0.00116398678886508,0.18659,1.10073164048475,0.81435,0.0027494006392303,20000,0.406297654357089,0.00121791434154787,0.17223909796257,0.391136782030783,0.279569670208743,0.51465906172119,0.635096518357006,0.71333650034409,0.406297654357089,0.829194123079634,1.17446199018883,0,0,0,0.12612
"gaussian_phi000_N64_M16_Q4","gaussian_phi000_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0,"phi = 0.00",64,16,4,5,100000,20000,"F_feasible_leading",0.81099,-0.13901,0.00123808408397814,-0.1379,0.00117620140048265,0.18901,1.12987906720003,0.8124,0.00276049126062735,20000,0.409613588258878,0.00127208701702755,0.179900271199909,0.391971403148788,0.276153143051172,0.52269118147306,0.649193330631711,0.730777092969721,0.409613588258878,0.835961459475497,1.184047175552,0,0,0,0.12612
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,100000,20000,"raw",0.92288,-0.0271199999999999,0.000843637988713168,-0.02687,0.000671330423744804,0.07712,1.25857160096891,0.9267,0.00184292037266942,20000,0.493544933806127,0.000654578228366994,0.0925713408190756,0.49050136423201,0.429458594009152,0.553829167081602,0.613859160664502,0.651225184053972,0.493544933806127,0.958840039869468,1,0,0,0,5e-05
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,100000,20000,"K_leading",0.93486,-0.0151399999999999,0.000780363892040117,-0.01489,0.000632207937207972,0.06514,1.14058051337808,0.93785,0.00170715227059568,20000,0.519154769858589,0.000689757089038613,0.0975463830061393,0.516038647360251,0.451873447611545,0.582721540932821,0.645891598547459,0.684998004484621,0.519154769858589,1.00859384046514,1.05188957336663,0,0,0,5e-05
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,100000,20000,"V_oracle",0.92601,-0.02399,0.000827740780075502,-0.02374,0.000661640764830143,0.07399,1.22895370301257,0.9298,0.00180654310770599,20000,0.499620618441992,0.000662905197237089,0.0937489520500303,0.496584123568145,0.434785628655961,0.560672327714903,0.621489387143064,0.659421596324233,0.499620618441992,0.970643645376186,1.01231029683358,0,0,0,5e-05
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,100000,20000,"V_feasible",0.92364,-0.0263599999999999,0.00083981635135308,-0.02611,0.00071238174729392,0.07636,1.25497845757344,0.9277,0.00183129339539026,20000,0.509100097359846,0.000818708375528071,0.115782848830024,0.506000129991493,0.428199906949407,0.585815951581368,0.659513539190665,0.705796305667014,0.509100097359846,0.989060010981323,1.03151721857169,0,0,0,5e-05
"gaussian_phi005_N64_M4_Q16","gaussian_phi005_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.05,"phi = 0.05",64,4,16,2,100000,20000,"VK_leading_oracle",0.93779,-0.0122099999999999,0.000763805707624655,-0.01196,0.00062479875778916,0.06221,1.11373929335514,0.94065,0.00167074201329828,20000,0.525549446901277,0.000698574189424726,0.0987933093008239,0.522371153043915,0.457388776280709,0.589789983749433,0.653914257271335,0.693788513012646,0.525549446901277,1.0210171721024,1.0648461992069,0,0,0,5e-05
