"scenario_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","seed"
"gaussian_phi040_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",4096,1867124599
"gaussian_phi045_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",4096,1872128099
"gaussian_phi050_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",4096,1877131599
"gaussian_phi055_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",4096,1882135099
"gaussian_phi060_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.6,"phi = 0.60",4096,1887138599
"gaussian_phi065_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.65,"phi = 0.65",4096,1892142099
"gaussian_phi070_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.7,"phi = 0.70",4096,1897145599
"gaussian_phi075_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.75,"phi = 0.75",4096,1902149099
"gaussian_phi080_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.8,"phi = 0.80",4096,1907152599
"gaussian_phi085_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.85,"phi = 0.85",4096,1912156099
"gaussian_phi090_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.9,"phi = 0.90",4096,1917159599
"gaussian_phi095_N4096","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.95,"phi = 0.95",4096,1922163099
