"regime","regime_label","alpha_nominal","N","M","Q","statistic","n_phi","coverage_phi_000","coverage_phi_050","coverage_phi_080","coverage_phi_090","coverage_phi_095","coverage_range","coverage_sd_across_phi","coverage_slope_per_unit_phi","drop_phi000_to_095","drop_phi050_to_095","mean_absolute_coverage_error","max_absolute_coverage_error","normalized_length_phi_000","normalized_length_phi_050","normalized_length_phi_080","normalized_length_phi_090","normalized_length_phi_095","normalized_length_range","normalized_length_slope_per_unit_phi"
"alpha_1_3","M = N^(1/3)",0.333333333333333,729,9,81,"VK_asym_full_feasible",20,0.94879,0.94439,0.89784,0.80075,0.64403,0.30596,0.0738220173190399,-0.164388872180451,-0.30476,-0.30036,0.034991,0.30597,1.01426924621666,0.994635158099171,0.843367625330682,0.657871004164292,0.476276633452778,0.538128778297047,-0.372294822235579
"alpha_1_3","M = N^(1/3)",0.333333333333333,729,9,81,"F_feasible_leading",20,0.94879,0.94547,0.90292,0.81529,0.67561,0.27485,0.066405502187616,-0.147700902255639,-0.27318,-0.26986,0.0312155,0.27439,1.01426924621666,0.999406102519125,0.856753752223379,0.679886855313274,0.508401907215408,0.506370905707759,-0.348084544193248
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"raw",20,0.93828,0.93127,0.91386,0.87757,0.79463,0.14365,0.0331569735302276,-0.0747103759398496,-0.14365,-0.13664,0.029431,0.15537,0.992413869191563,0.966967304849085,0.905732667800652,0.80759877683401,0.664033242200453,0.328758690886823,-0.203800216330769
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"K_asym_full",20,0.9449,0.93795,0.91749,0.87594,0.77806,0.16684,0.0384636608953657,-0.0856324812030075,-0.16684,-0.15989,0.025081,0.17194,1.02230623134568,0.991127574681392,0.91774889421686,0.803681643850174,0.638737893487718,0.383583345960511,-0.24092767183661
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"K_leading",20,0.9449,0.93922,0.92202,0.88793,0.80714,0.13776,0.0317872893995135,-0.0708953383458646,-0.13776,-0.13208,0.021619,0.14286,1.02230623134568,0.996103983931755,0.933019145959229,0.831914232154723,0.683962277537486,0.338745799725604,-0.209967678849688
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"V_oracle",20,0.93828,0.93813,0.93817,0.93739,0.93167,0.00797999999999999,0.0016137321078139,-0.00246421052631585,-0.00661,-0.00646000000000002,0.0121145,0.01833,0.992413869191563,0.991792729720914,0.991156856138862,0.988787217289887,0.983380169428276,0.0112593195756499,-0.00463882592141647
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"V_feasible",20,0.93661,0.93725,0.93323,0.90991,0.84203,0.09687,0.0217662299034658,-0.0372763909774433,-0.0945800000000001,-0.0952200000000001,0.019688,0.10797,1.00019904849091,0.998216286640682,0.977652519977367,0.894683090121063,0.745907971339973,0.256270382336471,-0.117757289018017
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"VK_asym_full_oracle",20,0.9449,0.94378,0.94111,0.93624,0.92166,0.0237499999999999,0.00537985645963865,-0.0119204511278194,-0.0232399999999999,-0.0221199999999999,0.00774849999999996,0.0283399999999999,1.02230623134568,1.01660935274801,1.00437511309913,0.983935250518078,0.945160602114187,0.0790662945285028,-0.0449632836305325
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"VK_leading_oracle",20,0.9449,0.94505,0.94491,0.94424,0.93881,0.00727999999999995,0.00152628298059111,-0.00221578947368397,-0.00608999999999993,-0.00623999999999991,0.00524849999999996,0.0111899999999999,1.02230623134568,1.02172114052669,1.02117498711779,1.01891392554741,1.01350675857444,0.0111077380961244,-0.00443726157597707
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"VK_asym_full_feasible",20,0.94372,0.94279,0.93691,0.90851,0.82664,0.11807,0.0267397944919867,-0.0485070676691731,-0.11708,-0.11615,0.0154409999999999,0.12336,1.03122023642368,1.02379825698634,0.99085773543776,0.89028489290704,0.717208372974385,0.315660505583937,-0.156625963738232
"alpha_1_2","M = N^(1/2)",0.5,729,27,27,"F_feasible_leading",20,0.94372,0.94393,0.94065,0.91885,0.85334,0.09206,0.0207404091912636,-0.0353565413533831,-0.09038,-0.0905900000000001,0.0123345,0.09666,1.03122023642368,1.02907279374238,1.00764997098152,0.921999010887013,0.768535359716055,0.264736043341145,-0.121905862345227
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"raw",20,0.89196,0.88945,0.88348,0.87489,0.84642,0.04615,0.0103407306445511,-0.023644060150376,-0.04554,-0.04303,0.0639055,0.10358,0.911124539874755,0.903102708756418,0.884320247757469,0.854623672264088,0.793014889090742,0.121222851549904,-0.0685882906821156
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"K_asym_full",20,0.9146,0.91156,0.90327,0.89042,0.85198,0.06362,0.014419819137124,-0.0330756390977442,-0.06262,-0.0595800000000001,0.0430744999999999,0.09802,0.995163890838208,0.98119553373462,0.949310969737153,0.900263539484946,0.806053616368205,0.192062459859933,-0.112365322720069
