"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,4,16,"K_asym_full_minus_K_leading",-0.00234,0.000152792268962715,-0.00474932094396445,6.64286425325889e-06
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,4,16,"V_oracle_minus_V_feasible",0.00235,0.00034734130399337,-0.00885922374413948,0.000204122892418535
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00204,0.000142683522475007,-0.0048706473631358,6.84103449378703e-06
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00182,0.000339658695870276,-0.0106701000235565,0.000211664727215428
"gaussian_phi010_N64_M4_Q16","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00188,0.000336401230167008,-0.011083121789325,0.000213286547230782
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,8,8,"K_asym_full_minus_K_leading",-0.00243,0.000155695836206156,-0.00470479633190736,9.54221750099119e-06
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,8,8,"V_oracle_minus_V_feasible",0.00467,0.000409736000170718,-0.00987846999050842,0.000206443095507385
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00237,0.000153766275368412,-0.00474239139642363,9.63192561946435e-06
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00366,0.000363960669130178,-0.013841468514549,0.000218291779879758
"gaussian_phi010_N64_M8_Q8","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00381,0.000362430893497679,-0.0142775541898665,0.000219401475858416
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,16,4,"K_asym_full_minus_K_leading",-0.00243,0.000155695836206156,-0.00339319285455297,1.04955732670374e-05
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,16,4,"V_oracle_minus_V_feasible",0.00335,0.000293579013020973,-0.00195104016783535,7.82885371762574e-05
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00234,0.000152792268962715,-0.00338482597655784,1.0472685441741e-05
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00267,0.000252644709609152,-0.00324260089667048,7.39534357016677e-05
"gaussian_phi010_N64_M16_Q4","gaussian_phi010_N64","gaussian","Gaussian",0.1,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00275,0.000252636128156945,-0.00329103183209475,7.33917127161378e-05
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,4,16,"K_asym_full_minus_K_leading",-0.00338,0.000183537715091282,-0.00743648591289743,1.04231721777737e-05
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,4,16,"V_oracle_minus_V_feasible",0.00265,0.000322538083500465,-0.00794570008667188,0.000193231878197088
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00301,0.000173233077375514,-0.00773076835808019,1.0904877691947e-05
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00203,0.000320405707811481,-0.00946928150690873,0.000199523065152833
"gaussian_phi015_N64_M4_Q16","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00205,0.000318212173855552,-0.0100593653326697,0.00020181524689911
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,8,8,"K_asym_full_minus_K_leading",-0.00382,0.000195075514979624,-0.00744075151703588,1.50471493261789e-05
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,8,8,"V_oracle_minus_V_feasible",0.00504,0.000391340664223838,-0.0100341544519447,0.000208637767677935
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00328,0.000180811346235321,-0.00753187694775797,1.52623909839385e-05
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00399,0.00035880647488704,-0.013804485932483,0.000219597164123883
"gaussian_phi015_N64_M8_Q8","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00383,0.000354618906074797,-0.0144649450873952,0.000221236097873172
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,16,4,"K_asym_full_minus_K_leading",-0.00344,0.000185154008382396,-0.005408674662353,1.68798945643133e-05
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,16,4,"V_oracle_minus_V_feasible",0.00274,0.000289354041370796,-0.00202919930131448,7.96393824360452e-05
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00324,0.000179709061968142,-0.00538857521256262,1.68246430639876e-05
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00294,0.000252020235580382,-0.00332535256227925,7.53678245993705e-05
"gaussian_phi015_N64_M16_Q4","gaussian_phi015_N64","gaussian","Gaussian",0.15,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00248,0.000247667336140828,-0.00340021761464938,7.45118181785132e-05
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,4,16,"K_asym_full_minus_K_leading",-0.0044,0.000209300831504274,-0.0103573453069336,1.43610036740307e-05
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,4,16,"V_oracle_minus_V_feasible",0.00346,0.000311578649481232,-0.00542740409156538,0.000180159076574536
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00404,0.000200592089504705,-0.0109254908185776,1.52793125350968e-05
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00283,0.000296345725813436,-0.00663123952589604,0.000185064629165469
"gaussian_phi020_N64_M4_Q16","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00262,0.000296870741775563,-0.00735453557824892,0.000187826363009397
"gaussian_phi020_N64_M8_Q8","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,8,8,"K_asym_full_minus_K_leading",-0.00508,0.000224816461640188,-0.0104001234467433,2.12747288899813e-05
"gaussian_phi020_N64_M8_Q8","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,8,8,"V_oracle_minus_V_feasible",0.00449,0.000376961297745803,-0.00949337570091417,0.000207974752636257
"gaussian_phi020_N64_M8_Q8","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00456,0.000213055199244654,-0.0105742662947713,2.1690860459287e-05
"gaussian_phi020_N64_M8_Q8","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00394,0.000363106158665513,-0.0129656636903963,0.000218444323223079
"gaussian_phi020_N64_M8_Q8","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00312,0.000358474463580616,-0.0138368988642607,0.000220689729803031
