"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"gaussian_phi020_N64","gaussian_phi020_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.2,"phi = 0.20",64,16,4,5,2110065795,1.5,0.625,0.416666666666667,1.46093750000026,1.490234375,0.980340760157446,21.9166666666667,0.657552083333333,0.625,0.0260416666666667,0.375,0.401041666666667,0.598157273671886,22.2323345970146,0.315667930347967
"gaussian_phi025_N64","gaussian_phi025_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,4,16,2,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.4453125,1.65277777777778,0.874474789915966,3.33333333333333,0.947916666666667,0.90625,0.133333333333333,0.09375,0.227083333333333,0.629934409933471,3.58139260496567,0.248059271632339
"gaussian_phi025_N64","gaussian_phi025_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,8,8,4,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.55555725097656,1.65277777777778,0.941177496389181,9.33333333333333,0.854166666666667,0.8125,0.0666666666666667,0.1875,0.254166666666667,0.629934409933471,9.5812906045318,0.247957271198466
"gaussian_phi025_N64","gaussian_phi025_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.25,"phi = 0.25",64,16,4,5,2115069295,1.66666666666667,0.888888888888889,0.533333333333333,1.61111111112405,1.65277777777778,0.974789915974213,21.3333333333333,0.666666666666667,0.625,0.0333333333333333,0.375,0.408333333333333,0.629934409933471,21.7385777847872,0.40524445145385
"gaussian_phi030_N64","gaussian_phi030_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.3,"phi = 0.30",64,4,16,2,2120072795,1.85714285714286,1.22448979591837,0.659340659340659,1.5535,1.83801020408163,0.845207494795281,2.7032967032967,0.957760989010989,0.90625,0.164835164835165,0.09375,0.258585164835165,0.664296644532546,3.06463018902446,0.361333485727754
"gaussian_phi030_N64","gaussian_phi030_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.3,"phi = 0.30",64,8,8,4,2120072795,1.85714285714286,1.22448979591837,0.659340659340659,1.704091675,1.83801020408163,0.927139398473282,8.7032967032967,0.864010989010989,0.8125,0.0824175824175824,0.1875,0.269917582417582,0.664296644532546,9.02437195225592,0.321075248959213
"gaussian_phi030_N64","gaussian_phi030_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.3,"phi = 0.30",64,16,4,5,2120072795,1.85714285714286,1.22448979591837,0.659340659340659,1.7806122452274,1.83801020408163,0.968771686508175,20.7032967032967,0.676510989010989,0.625,0.0412087912087912,0.375,0.416208791208791,0.664296644532546,21.2059075111276,0.50261080783087
"gaussian_phi035_N64","gaussian_phi035_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.35,"phi = 0.35",64,4,16,2,2125076295,2.07692307692308,1.65680473372781,0.797720797720798,1.6689375,2.05103550295858,0.813704832311576,2.01139601139601,0.968571937321937,0.90625,0.199430199430199,0.09375,0.293180199430199,0.701737505428358,2.52951190815234,0.518115896756327
"gaussian_phi035_N64","gaussian_phi035_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.35,"phi = 0.35",64,8,8,4,2125076295,2.07692307692308,1.65680473372781,0.797720797720798,1.86986912167969,2.05103550295858,0.911670772632866,8.01139601139601,0.874821937321937,0.8125,0.0997150997150997,0.1875,0.2872150997151,0.701737505428358,8.41981599269571,0.408419981299696
"gaussian_phi035_N64","gaussian_phi035_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.35,"phi = 0.35",64,16,4,5,2125076295,2.07692307692308,1.65680473372781,0.797720797720798,1.97337278631607,2.05103550295858,0.962134874539964,20.011396011396,0.687321937321937,0.625,0.0498575498575499,0.375,0.42485754985755,0.701737505428358,20.6216970920241,0.610301080628041
